10a;0.1464;3.5800;337.3480
10b;0.2539;3.5140;257.8890
10c;0.2747;3.9550;2733.5780
11a;0.1474;2.3140;82.3770
11b;0.1644;3.9400;72.8270
11c;0.1506;2.3200;130.9500
11d;0.2008;2.4140;233.4670
13a;0.7058;6.4590;1023.4010
13b;0.3823;4.2910;363.2820
13c;0.3418;4.5080;355.2170
13d;0.3555;9.0310;1904.5520
14a;0.1887;2.0520;212.3250
14b;0.1582;2.2490;83.3430
14c;0.1542;2.1020;452.2450
15a;0.6679;9.8200;821.9010
15b;0.3995;5.5320;35.4760
15c;0.2052;6.3920;913.2440
15d;0.2120;6.0860;913.1500
16a;0.1384;2.3080;144.1500
16b;0.2016;6.9830;3995.2930
16c;0.2033;7.1130;741.9650
16d;0.4968;5.9980;552.9810
18a;0.2409;3.2120;2797.8300
18b;0.1429;2.5070;172.4500
18c;0.1839;4.4120;3058.3410
19a;0.2497;11.8810;206.6060
19b;0.2378;13.9180;138.2160
19c;0.2546;14.9550;371.2240
19d;0.4955;15.7320;3154.4530
20a;0.3394;11.8630;830.9370
20b;0.4757;6.0470;809.3770
20c;0.3069;6.0900;678.4620
21a;0.1905;5.2610;82.9940
21b;0.1942;5.4690;67.1840
21c;0.3346;5.2610;99.5140
23a;0.2446;17.8030;221.2000
23b;0.2628;15.9310;48.9200
23c;0.2567;19.2040;308.3930
24a;0.3242;47.1360;156.0060
24b;0.4747;45.3240;68.8130
25a;0.5121;9.1020;871.5560
25b;0.1829;4.9490;235.7000
25c;0.1527;10.1680;1569.5340
26a;0.9751;31.1630;420.6810
26b;0.3209;31.7790;138.3040
26c;0.3737;26.9840;943.5670
29a;0.8432;2442.6390;30.6730
29b;0.6696;2425.7880;15.6450
29c;1.1705;2412.0930;58.8530
2a;0.0752;0.5080;258.3400
2b;0.0595;0.5210;223.9900
2c;0.0632;0.5210;186.2270
2d;0.0870;1.4470;446.6540
30a;0.2544;44.2290;702.9420
30b;1.2012;40.3050;1016.1470
30c;0.2759;36.9650;1174.6470
31a;0.5474;21.5610;232.5880
31b;0.2669;26.6640;33.3860
31c;0.2525;25.3010;275.8080
32a;0.0857;0.7890;11.9230
32b;0.0878;0.7640;193.6360
33a;0.4906;171.6700;35.1690
33b;0.8082;157.6530;239.9670
33c;0.7068;106.3460;48.3960
3a;0.0393;0.4670;118.7730
3b;0.0468;0.4370;75.2590
3c;0.0570;0.4790;238.5170
4a;0.0475;0.6230;72.7390
4b;0.0564;0.5770;59.3410
4c;0.0461;0.5950;94.3160
6a;0.1178;0.8500;25.4720
6b;0.0558;0.6010;160.8180
6c;0.0573;0.5850;11.3800
6d;0.1140;0.6440;4078.5740
6e;0.1133;0.5910;18.6260
6f;0.0492;1.5050;1417.4910
7a;0.3259;4.3370;733.5280
7b;0.1188;2.3930;185.8970
7c;0.3219;2.5760;2072.3390
8a;0.3478;2.9940;536.9800
8b;0.0848;1.9840;136.8010
8c;0.2690;1.5050;4450.5970
8d;0.1890;4.0640;1755.2020
9a;0.1678;5.4540;218.3230
9b;0.1197;4.4770;216.7510
9c;0.2126;5.7850;370.0090
9d;0.2824;4.6180;2439.6910
12a;0.1867;5.1130;618.3430
12b;0.2213;2.2460;6066.9290
12c;0.4012;4.9770;1318.2310
17a;0.1840;1.3860;10088.3000
17b;0.2296;1.4300;22820.1800
17c;0.2297;1.3960;22891.3370
17d;0.4480;1.4280;23411.3010
17e;0.1067;3.2210;2718.7720
17f;0.1852;1.4310;24060.1090
1a;0.0719;0.8610;2075.3610
1b;0.0485;0.5500;400.1790
1c;0.0664;0.7590;492.3790
1d;0.0514;1.8160;1438.8170
22a;0.3338;26.5080;2497.1550
22b;0.3329;23.4360;1744.3390
22c;0.2158;15.4000;1881.3160
22d;0.2383;15.1930;4193.0940
27a;0.9587;46.6360;720.5060
27b;0.4158;59.6290;1240.1050
27c;0.7645;44.0850;104.9470
28a;1.3330;149.0090;1273.9580
28b;1.2699;160.6460;395.7830
28c;0.5630;147.1930;1895.6580
5a;0.0897;1.4040;840.9570
5b;0.0692;1.4670;429.7950
5c;0.0946;1.4170;3504.3490
