10a;0.0695;1.1350;228.9200
10c;0.1544;1.1080;2784.1800
11a;0.2512;2.2470;27.5930
11d;0.1516;2.1230;122.5760
12a;0.1882;2.9780;193.8930
12b;0.3338;2.1610;91.7350
12c;0.1512;4.9620;610.1100
13a;0.5341;5.4320;1254.4370
13b;0.4581;5.6310;2496.6000
14a;0.1388;1.8610;202.2640
14b;0.1904;2.0190;80.6810
14c;0.1157;1.9870;423.6460
15a;0.2063;3.9780;307.3930
15b;0.3577;5.4030;23.2140
15c;0.4781;3.7700;12725.9930
15d;0.3393;4.0170;12991.4810
16a;0.1448;2.1510;133.0250
16c;0.1899;3.9140;1088.4770
16d;0.2992;4.3570;971.2000
17a;0.4463;3.7790;1779.7380
17b;0.0828;1.2560;2225.0590
17c;0.0826;1.5510;1929.1460
17d;0.0810;1.2460;2376.5590
17e;0.1230;2.9850;2227.2390
17f;0.2954;1.4960;5323.0900
18a;0.0887;4.1510;291.4990
18b;0.1194;2.4990;158.2580
19a;0.3902;10.5670;194.4470
19b;0.1480;10.2330;105.1180
19d;0.4625;9.4270;3968.3260
1a;0.0523;0.6080;6.2520
1b;0.0487;0.5740;87.2840
1c;0.0464;0.5280;91.7640
1d;0.0436;0.5350;87.4990
20a;0.2732;5.7180;1145.1530
20b;0.1610;5.5710;572.7390
20c;0.3184;5.5140;816.9140
21a;0.1804;4.7080;27.6090
21b;0.3426;4.6500;23.9250
22b;0.2827;14.0330;163.3870
22c;0.2160;13.7880;521.9050
23a;0.3141;13.7750;204.6310
23b;0.3302;13.8710;33.7890
23c;0.4547;14.3300;265.2780
24a;0.4309;44.4060;212.6990
24b;0.3398;37.8160;25.7860
25a;0.2066;4.3000;1285.7600
25b;0.1771;5.4030;109.5560
25c;0.1486;10.8350;1993.3200
26c;0.4339;23.9530;930.7290
27a;0.2282;39.9680;31.3950
27b;0.4163;38.6420;10.9670
28b;0.4966;148.4260;333.2910
29a;0.6455;2112.0380;113.0370
29b;0.8504;2062.2340;111.7090
29c;0.9983;1968.7730;107.8590
2b;0.0579;0.7480;569.9920
2c;0.0608;0.4800;27.8850
2d;0.0506;0.5370;341.8180
30b;0.2221;34.5580;155.2670
30c;0.2074;36.2850;2096.3060
31a;0.4334;18.2040;138.8470
31b;0.4522;23.0120;39.9860
31c;0.3510;24.3680;213.5550
32a;0.0597;0.6780;9.9880
32b;0.0689;0.7560;177.7550
33a;0.2623;127.1610;24.8270
33b;0.5092;139.2240;21.8590
3a;0.0384;0.4230;100.8070
3c;0.0412;0.4700;205.4530
4a;0.0485;0.5260;57.7210
4b;0.0694;0.4750;49.8280
4c;0.0492;0.5010;85.4190
5a;0.0428;0.8030;122.8930
5b;0.0470;0.6440;117.7610
5c;0.0366;0.7680;152.8620
6a;0.0699;0.6230;228.3340
6b;0.0754;0.7540;402.5440
6c;0.0733;0.6170;221.4700
6e;0.0681;0.6270;229.6380
6f;0.1448;1.4990;1532.6970
7a;0.2058;2.3720;425.4540
7b;0.1186;2.0190;392.1610
7c;0.1130;2.2190;1597.1760
8a;0.0820;1.6990;297.4330
8b;0.0959;1.6450;134.3130
8c;0.3787;1.1030;3272.8530
8d;0.1151;2.6320;1532.7390
9a;0.1955;4.0030;189.4260
9c;0.1920;6.2060;385.7990
9d;0.1485;6.5130;2089.6350
10b;0.0868;1.3560;89.1550
11b;0.1233;2.1260;24.4640
11c;0.1255;2.1320;119.2700
13c;0.6097;3.4150;2425.2070
13d;0.4419;4.1770;2706.3760
16b;0.4439;3.3130;3128.0600
18c;0.1698;4.4830;2524.9740
19c;0.2220;13.6660;425.6560
21c;0.1520;4.5370;38.8000
22a;0.3074;14.0750;398.8980
22d;0.2922;15.4550;766.9910
26a;0.5390;23.8280;821.4340
26b;0.5701;23.5730;8549.1630
27c;0.3348;38.1670;29.9920
28a;0.6194;125.2660;239.5980
28c;0.3492;127.3790;260.1980
2a;0.0593;0.8650;694.1790
30a;0.4102;34.3090;1351.2070
33c;0.4639;90.7580;24.9140
3b;0.0368;0.4080;59.6820
6d;0.0724;0.6450;3854.9270
9b;0.2186;3.0470;185.9050
