10a;0.1367;3.1980;304.3460
10b;0.3433;1.4300;190.5820
10c;0.2472;3.4460;2453.6510
11a;0.1353;2.0270;77.6750
11b;0.1282;2.1170;44.1010
11c;0.0997;1.9900;120.1770
11d;0.1157;2.0870;221.7620
13a;0.7158;7.0630;826.7490
13b;0.3179;3.0120;337.8940
13c;0.2901;2.7930;308.3550
13d;0.2595;8.1010;1749.3980
14a;0.1657;1.7550;209.9040
14b;0.1424;1.8900;80.6960
14c;0.1329;1.9040;453.1260
15a;0.5617;8.3520;707.8750
15b;0.3115;4.9280;22.3320
15c;0.1886;5.2030;765.1570
15d;0.1893;5.2680;821.6750
16a;0.1261;2.1060;144.3520
16b;0.1805;3.4620;3608.7540
16c;0.1767;6.6220;747.1660
16d;0.4648;5.7440;558.4840
18a;0.2165;4.0980;2743.6150
18b;0.1357;1.7600;144.4030
18c;0.1708;3.2130;2840.9070
19a;0.2230;12.0880;180.1230
19b;0.2339;10.0060;118.4360
19c;0.2065;13.4800;325.2750
19d;0.4543;11.0910;2819.9150
20a;0.2773;13.4470;803.2420
20b;0.4290;5.1710;730.5580
20c;0.2709;5.3470;608.5660
21a;0.1657;4.5920;78.6130
21b;0.1684;4.5550;60.3390
21c;0.1636;4.6270;93.7810
23a;0.3639;15.4720;193.9080
23b;0.2413;13.0280;41.5120
23c;0.2417;15.0910;261.0650
24a;0.2942;38.3440;106.6270
24b;0.4510;37.7360;56.5050
25a;0.4850;7.5340;738.7350
25b;0.1667;4.3800;213.7290
25c;0.1365;10.1920;1484.5930
26a;0.7732;24.2780;304.6050
26b;0.4553;24.5690;64.1280
26c;0.3045;23.9460;739.2500
29a;0.6300;1995.8060;25.8780
29b;0.7844;2027.4030;14.2790
29c;1.1063;1970.9880;54.0240
2a;0.0710;0.4710;228.2860
2b;0.0554;0.5570;198.7680
2c;0.0589;1.0250;159.1010
2d;0.0823;1.0420;350.0940
30a;0.2410;39.2160;630.4330
30b;1.0798;34.1440;926.3860
30c;0.2434;32.2090;1099.0910
31a;0.3404;22.0460;186.3710
31b;0.3952;18.7290;26.8760
31c;0.2467;23.6250;229.3730
32a;0.0800;0.5930;9.1300
32b;0.0773;0.6400;188.1040
33a;0.4669;129.1470;33.0130
33b;0.7250;127.7750;205.7330
33c;0.4852;90.3790;45.9700
3a;0.0381;0.4260;119.6320
3b;0.0418;0.4010;74.4930
3c;0.0534;0.4450;230.2570
4a;0.0450;0.4920;96.9970
4b;0.0530;0.4750;64.6690
4c;0.0465;0.5050;93.4090
6a;0.1197;0.4670;12.6880
6b;0.0544;0.5210;140.4080
6c;0.0547;0.4230;8.5690
6d;0.1076;0.5310;3826.2930
6e;0.1108;0.5190;15.8550
6f;0.2201;1.4250;1213.2540
7a;0.3656;3.7870;709.1480
7b;0.1028;2.0820;175.1500
7c;0.3076;2.2230;1866.9070
8a;0.3326;2.1910;260.0560
8b;0.0751;1.7550;131.6730
8c;0.0741;1.2580;4419.8370
8d;0.1595;3.5540;1643.0720
9a;0.1488;2.8740;193.3520
9b;0.1063;2.8960;185.9340
9c;0.1967;6.5300;325.1900
9d;0.4501;7.7840;2329.3480
12a;0.1963;3.4920;631.8360
12b;0.1878;1.9400;5740.8390
12c;0.3323;2.2840;953.8160
17a;0.1657;2.6730;9422.1510
17b;0.2082;1.2010;20925.4260
17c;0.2117;1.1930;21847.1500
17d;0.2118;5.4410;21111.1570
17e;0.0939;3.8880;2699.7860
17f;0.1799;2.6350;21446.2390
1a;0.0640;0.7340;2009.2840
1b;0.0462;0.9750;413.9460
1c;0.0618;0.7230;446.8320
1d;0.0456;0.8050;1384.8080
22a;0.5758;22.0470;2146.8310
22b;0.3041;20.5050;1654.1530
22c;0.1940;13.3590;1768.1910
22d;0.2150;13.4730;3879.9200
27a;0.6903;39.3430;631.1050
27b;0.5987;39.9180;1098.4570
27c;0.7815;38.3120;100.8320
28a;1.0285;122.8240;1051.8050
28b;1.1369;124.2500;406.6980
28c;0.2896;123.8970;1819.1610
5a;0.0812;1.2130;831.4060
5b;0.0619;1.1650;405.3970
5c;0.0837;1.9640;3210.4230
