10b;0.1607;1.4180;418.0030
10c;0.1011;1.4460;2504.6310
11b;0.2077;2.3900;369.1940
11c;0.2974;2.1620;472.7430
12a;0.4278;2.4000;538.1510
12b;0.8326;2.4970;318.2890
12c;0.1978;6.1560;1162.3040
13a;0.1140;3.4400;3492.4080
13b;0.1582;3.1050;2650.8280
14a;0.1215;6.4060;1195.6580
14b;0.2424;2.7250;1145.0010
14c;0.1510;2.1950;1186.6970
15a;0.2996;4.8220;554.5530
15b;0.1932;6.8220;481.0870
15c;0.1911;4.8390;490.1100
16b;0.0960;3.1260;8099.6990
16c;0.1663;2.2110;1887.7040
16d;0.1317;2.1870;1658.1270
17a;0.1016;1.3560;4343.7620
17c;0.1087;1.6970;8409.9590
17d;0.1088;1.3430;8297.5190
17e;0.0737;1.4000;6299.2080
17f;0.2186;1.3660;8792.6710
18a;0.1075;3.2730;2251.0000
18b;0.3124;1.2870;561.6110
18c;0.0927;1.9430;2210.2560
19b;0.6087;9.3770;943.1450
19c;0.4398;12.1330;1362.8280
19d;0.1910;11.3470;2466.8040
1b;0.2571;0.5810;202.3420
1c;0.1299;0.6130;218.6260
1d;0.0933;0.5780;204.6240
20b;0.1698;5.6040;1391.9520
20c;0.1200;4.8310;1367.7260
21a;0.4146;4.6630;420.2260
21b;0.5217;4.4740;457.5050
21c;0.6193;4.6520;422.7920
22a;0.3134;14.3720;1015.4260
22c;0.4035;14.7370;2885.6600
22d;0.4539;14.7170;1474.1560
23a;0.3870;12.8610;495.3820
23b;0.6506;12.8800;849.2030
23c;0.4675;12.9360;501.6990
24a;0.4986;27.6930;1920.5920
24b;0.6263;41.1480;1485.7090
25a;0.3742;4.9630;1469.7420
25c;0.2110;11.0710;2204.5320
26a;0.2133;25.6950;937.8520
26b;0.4690;22.2240;657.1940
26c;0.2032;24.9610;1437.7890
27a;0.5952;38.1410;492.8860
27b;0.7221;36.9230;490.9050
27c;0.5123;38.8090;508.4110
28a;0.3778;138.2570;1570.2770
28b;2.2040;165.3030;1641.9910
28c;0.6982;140.0790;1304.2220
29a;1.8224;1956.0830;2923.6620
29c;2.5809;1671.7610;1535.5910
2a;0.0916;0.6240;458.4270
2b;0.0972;0.6890;598.9500
2c;0.0840;0.6350;604.4250
2d;0.0803;0.5930;626.6090
30a;0.7467;39.5310;1239.9660
30b;1.2916;40.1070;1121.5370
30c;0.4800;33.4610;2846.4290
31b;0.5122;21.2570;973.6890
31c;0.4764;26.1960;2184.3550
32a;0.2243;0.8210;190.1060
33a;0.4892;140.2350;961.2130
33b;0.5320;133.1390;854.2000
33c;0.5504;90.5990;1042.5590
3a;0.0923;0.6280;267.9940
3b;0.1015;0.4740;1453.9970
3c;0.0888;0.5520;1750.8150
4a;0.0892;1.2670;303.7230
4b;0.0782;0.8400;256.9860
5a;0.1120;0.7500;297.3210
5b;0.1439;0.7940;303.5620
6a;0.1444;1.0800;227.3730
6b;0.0838;0.6110;415.1230
6e;0.1223;0.7580;228.3860
6f;0.0355;0.6520;3354.1290
7a;0.1882;2.2450;742.1600
7c;0.2074;2.2100;3462.1000
8a;0.1706;1.4400;776.0470
8b;0.3152;1.7450;457.9470
8d;0.1090;2.4370;17411.0150
9a;0.2869;2.6030;876.4760
9b;0.5041;2.7770;895.1150
9c;0.3253;2.3070;1297.5560
9d;0.2031;4.9680;1910.3290
10a;0.2438;1.4350;767.9780
11a;0.2514;2.0700;360.0890
11d;0.2206;1.9720;472.0680
13c;0.1737;3.7650;2691.4350
13d;0.1271;3.2160;3573.0870
15d;0.1860;4.7760;1056.7090
16a;0.1595;2.2130;529.7870
17b;0.3770;1.4060;8049.4490
19a;0.7450;8.5780;2475.2110
1a;0.1227;0.7480;218.8830
20a;0.1878;4.6090;5977.1310
22b;0.2899;25.6450;1012.3370
25b;0.6221;4.7290;685.9500
29b;1.7351;1903.2840;2653.7290
31a;0.7118;19.5140;1549.1890
32b;0.2242;0.8480;317.4720
4c;0.1120;0.6720;1666.6600
5c;0.0907;0.8160;2693.4610
6c;0.0846;0.5720;216.0680
6d;0.1220;0.8210;5163.3730
7b;0.2149;2.3760;546.6350
8c;0.0855;0.9030;21709.2950
