10a;0.1462;1.7910;239.1390
10c;0.2009;2.6090;2840.2030
11a;0.1357;1.9030;26.6180
11c;0.1508;2.2140;113.7260
11d;0.1405;1.8170;112.4480
12a;0.1660;6.2720;147.3020
12b;0.2303;2.1430;89.0350
13a;0.1957;8.1560;1903.7360
13c;0.5996;5.7210;583.7580
13d;0.1405;9.9200;1778.7990
14b;0.0995;2.0060;86.9530
14c;0.1336;1.7950;393.0940
15a;0.1589;6.3080;285.9710
15c;0.1373;4.1510;403.8260
15d;0.1371;4.2540;545.9090
16a;0.1636;2.2130;145.7240
16b;0.3722;2.0970;7364.4540
16d;0.1018;2.0980;1207.6920
17a;0.1016;1.2660;5071.2010
17b;0.0959;1.2540;5497.8850
17d;0.0995;1.2110;4188.5150
17e;0.0753;1.2060;6789.0560
17f;0.1061;1.1930;5282.4100
18a;0.0840;2.6630;2117.1630
18c;0.1170;3.9050;2249.1020
19b;0.5558;8.8130;109.7710
19c;0.4644;14.5260;319.0340
19d;0.1823;12.1850;4498.2050
1a;0.0599;0.6960;99.1180
1b;0.0515;0.5340;90.3410
1d;0.0491;0.4510;92.0740
20a;0.1892;5.6390;1279.9770
20b;0.2197;5.4090;597.0510
21a;0.1393;4.2360;25.6410
21b;0.1529;4.4840;86.7510
22a;0.3474;13.0940;244.4410
22c;0.1742;14.0130;568.6830
22d;0.2256;13.7630;664.2330
23a;0.3995;15.2620;198.4590
23c;0.4822;16.5190;267.3800
24b;0.3890;35.9810;33.5800
25b;0.1742;4.2610;190.7060
25c;0.1366;7.9960;2513.6990
26a;0.2465;23.7990;308.2120
26b;0.2871;23.8170;57.2860
27a;0.3776;36.0620;34.4760
27b;0.4436;36.3890;12.5190
28b;0.2684;115.3230;252.4160
28c;0.4395;123.3560;268.9400
29a;1.4881;1859.0200;28.6270
29c;0.6387;1908.2980;111.6650
2b;0.0479;1.4930;1196.9750
2c;0.0470;0.4960;19.6710
2d;0.0499;0.5150;560.2790
30b;0.3583;31.8190;349.7480
30c;0.4872;35.9910;2619.2550
31a;0.3064;18.9720;196.2080
31c;0.2127;29.9930;224.7240
32a;0.0737;0.5830;9.0110
33a;0.4899;130.4170;24.9830
33b;0.3796;132.9780;25.4820
3a;0.0454;0.3750;98.5620
3c;0.0475;0.7160;199.1230
4b;0.0712;0.4720;48.0080
4c;0.0711;0.4740;71.6300
5b;0.0442;0.7100;111.6670
5c;0.0627;0.7570;145.4870
6a;0.0799;0.4090;12.2710
6c;0.0485;0.5130;8.4690
6d;0.0801;0.5110;3163.6840
6e;0.0775;0.4130;12.4030
6f;0.0479;0.4680;2846.3210
7a;0.1889;2.0790;99.0830
7b;0.2606;2.1860;65.5420
8a;0.1737;3.9320;730.7210
8b;0.3223;1.6850;116.5780
8d;0.1097;1.8890;1265.1290
9a;0.2090;3.6530;186.7710
9b;0.2484;3.7580;187.2140
9d;0.1349;5.5940;2886.2310
10b;0.1388;3.9880;2078.6700
11b;0.1090;2.0830;360.1960
12c;0.1924;6.1320;462.2940
13b;0.2604;9.1920;608.9590
14a;0.1780;1.7920;175.3050
15b;0.1454;4.3840;360.5690
16c;0.1013;1.9300;1292.4460
17c;0.0942;1.1700;4163.9930
18b;0.3715;1.3300;2089.0610
19a;0.5803;12.7400;191.6080
1c;0.0442;0.5530;83.5820
20c;0.3054;5.3650;1901.5220
21c;0.1866;4.6770;448.2670
22b;0.2507;13.2720;199.5610
23b;0.2511;12.6100;23.2070
24a;0.5619;37.7300;89.5500
25a;0.1429;10.4080;1300.2330
26c;0.3419;24.2960;901.3180
27c;0.2366;37.7850;31.4760
28a;0.6731;119.7700;298.5350
29b;1.4794;1846.0130;22.3330
2a;0.0507;0.7740;1325.9070
30a;0.5459;34.1470;1947.7070
31b;0.4928;19.4050;258.4950
32b;0.0783;0.6590;163.7640
33c;0.3313;90.3590;28.1980
3b;0.0420;0.3430;57.3170
4a;0.0725;0.4570;55.7100
5a;0.0480;0.6850;108.9810
6b;0.0502;0.4900;124.3800
7c;0.1210;1.9910;8018.4440
8c;0.1611;1.1280;5624.3620
9c;0.1352;4.9520;2468.5260
