10a;0.0672;1.2320;1501.6640
10b;0.1456;1.1920;1164.2680
10c;0.2142;0.8770;4264.6110
11a;0.2346;1.7910;516.7720
11b;0.2493;2.2800;418.0500
11c;0.1484;2.2140;528.5670
11d;0.1371;1.9080;481.5210
12a;0.1302;2.0400;600.1670
12b;0.3660;2.1760;762.4030
12c;0.1274;1.5130;6054.0010
13a;0.1545;2.6800;4163.0830
13b;0.1198;3.0660;800.1840
13c;0.0984;3.0760;638.7970
13d;0.1157;2.3920;6940.7200
14a;0.1133;2.2450;674.5550
14b;0.1004;2.0530;488.3480
14c;0.1081;2.0050;843.6210
16a;0.0920;2.3940;799.3200
16b;0.1192;-1.0000;-1.0000
16c;0.2252;2.2910;2017.9950
16d;0.1189;2.3030;1738.1060
17a;0.1370;-1.0000;-1.0000
17b;0.0651;1.4860;8019.2090
17c;0.0651;1.0970;7439.5200
17d;0.0646;1.1690;7873.3970
17e;0.1128;-1.0000;-1.0000
17f;0.1253;0.9000;53474.8280
18a;0.0728;1.2660;4364.2780
18b;0.0845;1.2260;934.9070
18c;0.0802;1.2650;4714.4970
19a;0.1395;12.5220;463.6170
19b;0.1302;15.3360;866.6680
19c;0.2834;8.1460;2865.8750
19d;0.1297;6.1680;4972.7640
1a;0.0481;0.6320;880.8750
1b;0.0607;0.5760;968.8730
1c;0.0522;0.7940;997.8780
1d;0.0546;0.6260;1382.4570
20a;0.1465;5.6460;2158.2150
20b;0.1532;5.0910;1119.2100
20c;0.1586;5.0460;1518.7140
21a;0.2509;4.0340;532.2630
21b;0.3960;3.9790;519.8740
21c;0.2238;4.5470;549.4510
22a;0.1579;14.0520;790.7070
22b;0.1646;14.5850;773.0910
22c;0.1555;14.0580;1075.3080
22d;0.1607;14.3080;1184.6180
23a;0.5369;10.9870;1638.2330
23b;0.6088;14.6430;640.8400
23c;0.4121;12.3820;992.7000
26a;0.2213;22.7310;1350.6440
26b;0.2077;21.0440;901.4510
26c;0.1979;26.3470;1781.2130
27a;0.6016;36.6350;605.2720
27b;0.2461;36.6100;594.8220
27c;0.4298;35.1710;577.2740
28a;0.5165;125.2480;1169.0280
28b;0.3101;123.2570;1196.0830
28c;0.3323;120.2120;1255.9850
29a;0.7401;2053.2540;804.2220
29b;0.9050;2074.2810;796.9290
29c;0.6303;2047.3740;1203.9690
30a;0.3207;32.4240;965.7620
30b;0.5444;37.7260;803.3400
30c;0.2247;31.3750;3307.6030
32a;0.1139;0.7600;332.3250
32b;0.1126;0.8070;386.1840
33a;0.7879;135.8550;2302.5300
33b;0.4190;123.7230;1026.2850
33c;0.6266;92.1030;1073.1910
3a;0.0570;0.4920;1077.8010
3b;0.1159;0.4670;677.2300
3c;0.0421;0.4860;1900.1940
4a;0.0467;0.5290;1872.6960
4b;0.1124;0.5890;884.0130
4c;0.2341;0.5600;2259.4330
5a;0.0535;0.6560;387.0010
5b;0.0590;0.7970;378.7250
5c;0.0349;0.6520;945.9480
6a;0.0512;0.5230;1777.7480
6b;0.0602;0.5570;487.4070
6c;0.0617;0.5510;450.3950
6d;0.0372;0.5660;6832.8020
6e;0.0364;0.5930;2438.1030
6f;0.0440;1.9760;4996.0670
8a;0.0652;2.8990;407.4120
8b;0.0605;1.4800;806.8140
8c;0.2292;1.0130;25587.2320
8d;0.2147;1.0760;33073.8390
9a;0.1206;3.2890;195.7730
9b;0.0949;3.9920;455.1590
9c;0.0835;1.9770;2397.8460
9d;0.2562;2.4950;6061.2100
15a;0.2812;5.1610;22363.2020
15b;0.1152;5.4980;19885.6300
15c;0.2902;4.4570;3712.8090
15d;0.1477;4.6150;3654.3770
24a;0.5733;45.7770;2808.0660
24b;0.2647;41.6380;2488.3040
25a;0.2980;3.4070;7731.7680
25b;0.2471;5.0670;945.4330
25c;0.5303;3.4160;9819.6500
2a;0.0922;0.5740;3423.6970
2b;0.0693;0.8340;4155.2280
2c;0.0662;0.6530;2752.8610
2d;0.0992;0.6430;8147.8520
31a;0.3050;14.8630;8446.2740
31b;0.6689;21.4950;1082.5420
31c;0.3930;16.0390;19816.7410
7a;0.6259;4.0660;841.3760
7b;0.3912;3.3960;993.6770
7c;0.2224;1.6780;10930.7350
