10b;0.1764;3.3400;1175.2520
10c;0.1045;1.4780;2875.2390
11b;0.4245;2.1190;395.1170
11c;0.1690;2.0630;489.7050
11d;0.2004;2.1810;513.7520
12b;0.2429;2.0960;326.3520
12c;0.3739;2.3660;1043.9230
13a;0.3997;3.7270;3466.2630
13b;0.3024;3.5330;1743.2340
13c;0.2861;3.6530;1686.2640
14a;0.4068;1.9790;1277.7510
14c;0.2905;2.2620;1302.9630
15a;0.5687;6.7510;480.8610
15c;0.2779;5.5610;483.2710
15d;0.4149;4.4040;593.5300
16b;0.2468;2.9150;7360.5910
16c;0.2414;4.8380;3600.1160
16d;0.2561;2.5090;3543.8000
17a;0.2079;1.7830;5214.0060
17b;0.3673;1.7980;5469.7220
17c;0.2245;1.5210;5537.3150
17d;0.2379;1.5090;5517.5900
17e;0.1920;1.9820;5256.4180
18b;0.2927;1.4580;625.5590
18c;0.3622;1.2240;6455.5570
19a;0.7732;14.9540;1911.7660
19b;0.8275;18.8540;1960.1320
19c;0.3686;21.1470;1698.2390
1a;0.0485;0.6070;216.1700
1b;0.0575;0.5590;227.8360
1c;0.1935;0.7270;458.1420
20b;0.4284;5.4760;1189.8320
20c;0.4986;5.3980;1195.3530
21a;0.3803;4.8020;435.2330
21c;0.2308;4.7280;460.3160
22a;0.7115;15.9350;1664.1690
22b;0.8065;14.5680;1639.9120
22d;1.0997;13.0060;3338.7030
23a;0.2859;14.7440;794.0710
23c;0.4480;13.4180;776.0130
24a;1.2194;35.9330;3265.2380
25b;0.6682;4.5260;902.0940
25c;0.6197;5.3030;2509.2870
26b;1.4885;24.3640;633.4560
26c;1.0049;24.5040;2240.1340
27a;0.9449;37.8680;500.3090
27c;0.4104;37.6450;486.0980
28a;1.6944;118.6080;1576.2350
28b;1.9715;118.7450;1145.8950
29b;3.0182;2360.8490;3915.7430
29c;3.1360;1996.5600;3107.0690
2a;0.0809;0.6420;655.8870
2b;0.0831;0.6170;661.1260
2c;0.0622;0.5890;580.3880
30a;1.8442;33.4430;1235.0810
30c;1.5070;36.4050;2395.3060
31b;1.2476;20.4270;1144.9810
31c;0.9997;19.3170;1795.4830
32a;0.1479;0.6890;259.6100
33a;0.5041;135.6630;831.3980
33c;0.2895;95.7850;971.9980
3b;0.0575;0.6010;266.3530
3c;0.0587;0.6730;418.9870
4a;0.0812;0.5780;397.9270
4c;0.0626;0.6240;414.7420
5a;0.1428;0.7340;295.9980
5b;0.1341;0.7860;307.2680
6a;0.2049;0.7000;235.0270
6b;0.2008;0.6890;408.6920
6c;0.3833;0.6790;227.1230
6e;0.1914;0.6790;234.0950
6f;0.1027;1.1220;7577.2780
7b;0.4600;2.2660;395.5700
7c;0.4288;2.2570;2919.3500
8a;0.2446;1.4480;1135.5190
8b;0.2614;5.7310;1301.3960
8d;0.5473;1.1340;6130.8610
9a;0.2307;8.9150;1319.8800
9b;0.1902;8.3810;1220.5660
9d;0.1902;8.6490;2027.9300
10a;0.1614;4.5780;768.3680
11a;0.1625;2.2730;401.2090
12a;0.2714;2.3990;728.2820
13d;0.6610;3.2950;6977.0010
14b;0.3826;2.3570;1136.6530
15b;0.6186;8.3850;463.9130
16a;0.3595;2.4780;2981.0020
17f;0.1952;1.7550;5646.2190
18a;0.6504;1.2540;10285.5490
19d;0.6115;9.2410;6425.0880
1d;0.0521;0.6290;215.9940
20a;0.4333;5.4610;3236.5780
21b;0.4455;4.6930;429.6460
22c;1.0697;11.7510;1499.1240
23b;0.9996;14.0760;2164.8230
24b;1.4468;45.0310;3298.0210
25a;0.5956;5.5860;2243.5030
26a;1.3149;22.9180;3069.2170
27b;0.3292;38.2080;489.2760
28c;2.0853;119.3600;1386.0250
29a;3.0074;2179.9160;3179.5400
2d;0.1965;0.7000;689.1130
30b;1.8679;36.6910;1085.5610
31a;1.1555;19.7200;1886.5030
32b;0.1441;0.7720;468.2540
33b;0.4993;139.7590;793.4680
3a;0.0572;0.6470;275.5100
4b;0.1091;0.6480;314.4980
5c;0.1016;0.6440;1230.7940
6d;0.1843;0.7140;5347.3520
7a;0.4906;2.4270;2386.3800
8c;0.3008;1.3410;10701.2360
9c;0.1385;6.9650;1649.6850
