run_id,run_type,experiment,method,query_ident,split,inference_time,planning_time,execution_time,total_time,timed_out
0,regular,base_query_split_1,Balsa,q11__0ea8bacde0e13a4314466435cf49c8e685b39fb1,train,87.9,1.083,271.606,360.589,False
1,regular,base_query_split_1,Balsa,q11__0ea8bacde0e13a4314466435cf49c8e685b39fb1,train,992.5,1.082,269.814,1263.396,False
0,regular,base_query_split_1,Balsa,q11__33e1caf220e5bea2e592c82eede1c0427e2c2570,train,115.5,1.728,268.531,385.759,False
1,regular,base_query_split_1,Balsa,q11__33e1caf220e5bea2e592c82eede1c0427e2c2570,train,93.8,1.971,775.176,870.947,False
0,regular,base_query_split_1,Balsa,q11__6c5cba419c5b7b02d431aeb5e766d775d812967a,train,128.6,1.241,293.943,423.784,False
1,regular,base_query_split_1,Balsa,q11__6c5cba419c5b7b02d431aeb5e766d775d812967a,train,82.60000000000001,0.809,243.485,326.894,False
0,regular,base_query_split_1,Balsa,q11__87c4bd0930b02a3361ac2e86c453db1fec60dc6b,train,125.9,1.11,539.899,666.909,False
1,regular,base_query_split_1,Balsa,q11__87c4bd0930b02a3361ac2e86c453db1fec60dc6b,train,84.3,0.888,516.172,601.36,False
0,regular,base_query_split_1,Balsa,q11__9389f58853715321e2a60ad743f99fc365f040cb,train,107.7,1.163,225.615,334.478,False
1,regular,base_query_split_1,Balsa,q11__9389f58853715321e2a60ad743f99fc365f040cb,train,133.89999999999998,0.84,260.141,394.881,False
0,regular,base_query_split_1,Balsa,q11__aa96c8d7abbf8a5b6d29473c1b9447a84f8b4f52,train,73.3,1.102,228.649,303.051,False
1,regular,base_query_split_1,Balsa,q11__aa96c8d7abbf8a5b6d29473c1b9447a84f8b4f52,train,67.2,0.875,206.856,274.931,False
0,regular,base_query_split_1,Balsa,q11__c1ae2a992cde4ea2c4922d852df22043254b4f84,train,120.0,1.387,3154.915,3276.302,False
1,regular,base_query_split_1,Balsa,q11__c1ae2a992cde4ea2c4922d852df22043254b4f84,train,34.8,1.985,2016.952,2053.737,False
0,regular,base_query_split_1,Balsa,q11__e4ca35591923cf4efc89e64b17fb4d330c0b34df,train,69.8,1.181,231.364,302.345,False
1,regular,base_query_split_1,Balsa,q11__e4ca35591923cf4efc89e64b17fb4d330c0b34df,train,70.7,0.871,214.576,286.147,False
0,regular,base_query_split_1,Balsa,q12__06c8d6886a03d4d92837f38ff395b888de007d33,train,194.89999999999998,3.944,446.746,645.5899999999999,False
1,regular,base_query_split_1,Balsa,q12__06c8d6886a03d4d92837f38ff395b888de007d33,train,180.9,0.0,180000.0,180180.9,True
0,regular,base_query_split_1,Balsa,q12__0700720596313f7fa30c0dd3d4a3001c896ba760,train,132.6,3.705,550.669,686.9739999999999,False
1,regular,base_query_split_1,Balsa,q12__0700720596313f7fa30c0dd3d4a3001c896ba760,train,396.2,0.0,180000.0,180396.2,True
0,regular,base_query_split_1,Balsa,q12__547c6bf1994c9b2ba82a7ae32f4b051beabf46fd,train,128.3,3.822,391.481,523.6030000000001,False
1,regular,base_query_split_1,Balsa,q12__547c6bf1994c9b2ba82a7ae32f4b051beabf46fd,train,305.09999999999997,0.0,180000.0,180305.1,True
0,regular,base_query_split_1,Balsa,q12__55de941e8497cfeeb93d3f8f2d7a18489e0e6c32,train,242.10000000000002,3.399,1231.209,1476.708,False
1,regular,base_query_split_1,Balsa,q12__55de941e8497cfeeb93d3f8f2d7a18489e0e6c32,train,256.2,0.0,180000.0,180256.2,True
0,regular,base_query_split_1,Balsa,q12__5a5ff9bd9de9e748708116727803117e453e30da,train,117.7,3.547,470.942,592.189,False
1,regular,base_query_split_1,Balsa,q12__5a5ff9bd9de9e748708116727803117e453e30da,train,98.4,2.816,4170.944,4272.160000000001,False
0,regular,base_query_split_1,Balsa,q12__76a47868a09eec9f95bacb2cf21492d353698eb7,train,157.20000000000002,4.045,789.644,950.889,False
1,regular,base_query_split_1,Balsa,q12__76a47868a09eec9f95bacb2cf21492d353698eb7,train,135.3,0.0,180000.0,180135.3,True
0,regular,base_query_split_1,Balsa,q12__812a3effb91cb789490fc2e12af772b1a35f8552,train,95.5,3.941,1753.917,1853.358,False
1,regular,base_query_split_1,Balsa,q12__812a3effb91cb789490fc2e12af772b1a35f8552,train,77.10000000000001,2.787,8203.384,8283.271,False
0,regular,base_query_split_1,Balsa,q12__bde6c0cf5e67ddae4ec0dbb787291da703e406d5,train,102.2,3.603,380.473,486.276,False
1,regular,base_query_split_1,Balsa,q12__bde6c0cf5e67ddae4ec0dbb787291da703e406d5,train,110.10000000000001,2.743,3482.194,3595.037,False
0,regular,base_query_split_1,Balsa,q13__13ad1b8c6bea4fda1892b9fa82cc1ceb9ceb85fc,test,2613.5,0.0,180000.0,182613.5,True
1,regular,base_query_split_1,Balsa,q13__13ad1b8c6bea4fda1892b9fa82cc1ceb9ceb85fc,test,1682.5,7.516,41477.429,43167.445,False
0,regular,base_query_split_1,Balsa,q13__1ddcc8650e17b292bc7344902baffc90c5ae5761,test,190.0,0.0,180000.0,180190.0,True
1,regular,base_query_split_1,Balsa,q13__1ddcc8650e17b292bc7344902baffc90c5ae5761,test,145.5,8.961,30723.28,30877.740999999998,False
0,regular,base_query_split_1,Balsa,q13__935e2051bf80eeafe91aeb6eb719b6b64b9592c2,test,235.2,0.0,180000.0,180235.2,True
1,regular,base_query_split_1,Balsa,q13__935e2051bf80eeafe91aeb6eb719b6b64b9592c2,test,388.29999999999995,10.118,12722.73,13121.148,False
0,regular,base_query_split_1,Balsa,q13__a091adce62743b65c04532e98e8ff3d7e546ea77,test,132.89999999999998,21.137,2474.538,2628.575,False
