"Step","2023_10_16__094646 - hinter_latency","2023_10_16__094646 - hinter_latency__MIN","2023_10_16__094646 - hinter_latency__MAX","2023_10_16__094646 - test_query","2023_10_16__094646 - test_query__MIN","2023_10_16__094646 - test_query__MAX","2023_10_16__094646 - epoch","2023_10_16__094646 - epoch__MIN","2023_10_16__094646 - epoch__MAX","2023_10_16__094646 - pg_lateny","2023_10_16__094646 - pg_lateny__MIN","2023_10_16__094646 - pg_lateny__MAX"
"0","0.022748","0.022748","0.022748","0","0","0","0","0","0","0.022531","0.022531","0.022531"
"1","1.2748810000000002","1.2748810000000002","1.2748810000000002","1","1","1","0","0","0","1.2816310000000002","1.2816310000000002","1.2816310000000002"
"2","0.623884","0.623884","0.623884","1","1","1","0","0","0","0.618027","0.618027","0.618027"
"3","0.610753","0.610753","0.610753","1","1","1","0","0","0","0.6111","0.6111","0.6111"
"4","1.813297","1.813297","1.813297","1","1","1","0","0","0","1.851207","1.851207","1.851207"
"5","0.249463","0.249463","0.249463","1","1","1","0","0","0","0.237057","0.237057","0.237057"
"6","0.041569","0.041569","0.041569","1","1","1","0","0","0","0.041582","0.041582","0.041582"
"7","0.539755","0.539755","0.539755","1","1","1","0","0","0","0.55935","0.55935","0.55935"
"8","0.703971","0.703971","0.703971","1","1","1","0","0","0","0.675395","0.675395","0.675395"
"9","1.6588699999999998","1.6588699999999998","1.6588699999999998","1","1","1","0","0","0","1.8341120000000002","1.8341120000000002","1.8341120000000002"
"10","1.420599","1.420599","1.420599","1","1","1","0","0","0","1.4231690000000001","1.4231690000000001","1.4231690000000001"
"11","0.802783","0.802783","0.802783","1","1","1","0","0","0","0.8094","0.8094","0.8094"
"12","0.420231","0.420231","0.420231","1","1","1","0","0","0","0.44168799999999997","0.44168799999999997","0.44168799999999997"
"13","0.127834","0.127834","0.127834","1","1","1","0","0","0","0.131089","0.131089","0.131089"
"14","0.666767","0.666767","0.666767","1","1","1","0","0","0","0.6251380000000001","0.6251380000000001","0.6251380000000001"
"15","0.248969","0.248969","0.248969","1","1","1","0","0","0","0.256912","0.256912","0.256912"
"16","0.034052","0.034052","0.034052","1","1","1","0","0","0","0.035599","0.035599","0.035599"
"17","0.118252","0.118252","0.118252","1","1","1","0","0","0","0.119707","0.119707","0.119707"
"18","4.557842","4.557842","4.557842","1","1","1","0","0","0","4.23989","4.23989","4.23989"
"19","0.291041","0.291041","0.291041","1","1","1","0","0","0","0.28482","0.28482","0.28482"
"20","2.1690050000000003","2.1690050000000003","2.1690050000000003","1","1","1","0","0","0","2.158611","2.158611","2.158611"
"21","0.058521000000000004","0.058521000000000004","0.058521000000000004","1","1","1","0","0","0","0.059447","0.059447","0.059447"
"22","0.034769","0.034769","0.034769","1","1","1","0","0","0","0.034467","0.034467","0.034467"
"23","0.137399","0.137399","0.137399","1","1","1","0","0","0","0.144619","0.144619","0.144619"
"24","0.287498","0.287498","0.287498","0","0","0","0","0","0","0.298059","0.298059","0.298059"
"25","15.94979","15.94979","15.94979","0","0","0","0","0","0","0.02368","0.02368","0.02368"
"26","99.795479","99.795479","99.795479","0","0","0","0","0","0","0.201059","0.201059","0.201059"
"27","0.407176","0.407176","0.407176","0","0","0","0","0","0","0.431568","0.431568","0.431568"
"28","0.436573","0.436573","0.436573","0","0","0","0","0","0","0.434623","0.434623","0.434623"
"29","0.078098","0.078098","0.078098","0","0","0","0","0","0","0.080374","0.080374","0.080374"
"30","0.887769","0.887769","0.887769","0","0","0","0","0","0","0.868456","0.868456","0.868456"
"31","10.805309999999999","10.805309999999999","10.805309999999999","0","0","0","0","0","0","11.149026","11.149026","11.149026"
"32","0.154757","0.154757","0.154757","0","0","0","0","0","0","0.15554300000000001","0.15554300000000001","0.15554300000000001"
"33","0.39277","0.39277","0.39277","0","0","0","0","0","0","0.395172","0.395172","0.395172"
