"Step","2023_11_05__100534 - hinter_latency","2023_11_05__100534 - hinter_latency__MIN","2023_11_05__100534 - hinter_latency__MAX","2023_11_05__100534 - test_query","2023_11_05__100534 - test_query__MIN","2023_11_05__100534 - test_query__MAX","2023_11_05__100534 - epoch","2023_11_05__100534 - epoch__MIN","2023_11_05__100534 - epoch__MAX","2023_11_05__100534 - pg_lateny","2023_11_05__100534 - pg_lateny__MIN","2023_11_05__100534 - pg_lateny__MAX","2023_11_05__100534 - pg_plan_time","2023_11_05__100534 - pg_plan_time__MIN","2023_11_05__100534 - pg_plan_time__MAX","2023_11_05__100534 - mcts_time","2023_11_05__100534 - mcts_time__MIN","2023_11_05__100534 - mcts_time__MAX","2023_11_05__100534 - hinter_plan_time","2023_11_05__100534 - hinter_plan_time__MIN","2023_11_05__100534 - hinter_plan_time__MAX","2023_11_05__100534 - MPHE_time","2023_11_05__100534 - MPHE_time__MIN","2023_11_05__100534 - MPHE_time__MAX"
"0","1.767152","1.767152","1.767152","0","0","0","0","0","0","1.704551","1.704551","1.704551","0.024027","0.024027","0.024027","0.42505431175231934","0.42505431175231934","0.42505431175231934","0.024692","0.024692","0.024692","0.024796009063720703","0.024796009063720703","0.024796009063720703"
"1","1.020294","1.020294","1.020294","0","0","0","0","0","0","1.0271590000000002","1.0271590000000002","1.0271590000000002","0.004344000000000001","0.004344000000000001","0.004344000000000001","0.02176523208618164","0.02176523208618164","0.02176523208618164","0.004354","0.004354","0.004354","0.011385917663574219","0.011385917663574219","0.011385917663574219"
"2","0.106429","0.106429","0.106429","0","0","0","0","0","0","0.108058","0.108058","0.108058","0.000745","0.000745","0.000745","0.014245033264160156","0.014245033264160156","0.014245033264160156","0.000722","0.000722","0.000722","0.008854389190673828","0.008854389190673828","0.008854389190673828"
"3","0.829721","0.829721","0.829721","0","0","0","0","0","0","0.79","0.79","0.79","0.010278","0.010278","0.010278","0.024259328842163086","0.024259328842163086","0.024259328842163086","0.009744","0.009744","0.009744","0.013738870620727539","0.013738870620727539","0.013738870620727539"
"4","0.144983","0.144983","0.144983","0","0","0","0","0","0","0.14022300000000001","0.14022300000000001","0.14022300000000001","0.0008950000000000001","0.0008950000000000001","0.0008950000000000001","0.014203786849975586","0.014203786849975586","0.014203786849975586","0.000906","0.000906","0.000906","0.008563756942749023","0.008563756942749023","0.008563756942749023"
"5","0.303484","0.303484","0.303484","0","0","0","0","0","0","0.309884","0.309884","0.309884","0.005405","0.005405","0.005405","0.018395423889160156","0.018395423889160156","0.018395423889160156","0.005442","0.005442","0.005442","0.014511823654174805","0.014511823654174805","0.014511823654174805"
"6","8.831082","8.831082","8.831082","0","0","0","0","0","0","8.870593000000001","8.870593000000001","8.870593000000001","0.002431","0.002431","0.002431","0.014261245727539062","0.014261245727539062","0.014261245727539062","0.002478","0.002478","0.002478","0.00908350944519043","0.00908350944519043","0.00908350944519043"
"7","0.198191","0.198191","0.198191","0","0","0","0","0","0","0.193584","0.193584","0.193584","0.007001","0.007001","0.007001","0.022661685943603516","0.022661685943603516","0.022661685943603516","0.006713","0.006713","0.006713","0.01664900779724121","0.01664900779724121","0.01664900779724121"
"8","1.3799549999999998","1.3799549999999998","1.3799549999999998","0","0","0","0","0","0","1.329682","1.329682","1.329682","0.002974","0.002974","0.002974","0.008937358856201172","0.008937358856201172","0.008937358856201172","0.0026320000000000002","0.0026320000000000002","0.0026320000000000002","0.008747577667236328","0.008747577667236328","0.008747577667236328"
"9","9.572786","9.572786","9.572786","0","0","0","0","0","0","9.140165999999999","9.140165999999999","9.140165999999999","0.002441","0.002441","0.002441","0.012624740600585938","0.012624740600585938","0.012624740600585938","0.002576","0.002576","0.002576","0.009139060974121094","0.009139060974121094","0.009139060974121094"
"10","0.06995900000000001","0.06995900000000001","0.06995900000000001","0","0","0","0","0","0","0.06584999999999999","0.06584999999999999","0.06584999999999999","0.000651","0.000651","0.000651","0.013910770416259766","0.013910770416259766","0.013910770416259766","0.000666","0.000666","0.000666","0.006193399429321289","0.006193399429321289","0.006193399429321289"
"11","96.064275","96.064275","96.064275","0","0","0","0","0","0","0.089722","0.089722","0.089722","0.001116","0.001116","0.001116","0.004857063293457031","0.004857063293457031","0.004857063293457031","0.0038439999999999998","0.0038439999999999998","0.0038439999999999998","0.009762287139892578","0.009762287139892578","0.009762287139892578"
"12","2.021827","2.021827","2.021827","0","0","0","0","0","0","2.015342","2.015342","2.015342","0.05353","0.05353","0.05353","0.039336442947387695","0.039336442947387695","0.039336442947387695","0.053623","0.053623","0.053623","0.014539003372192383","0.014539003372192383","0.014539003372192383"
"13","0.206769","0.206769","0.206769","0","0","0","0","0","0","0.204833","0.204833","0.204833","0.000725","0.000725","0.000725","0.014314889907836914","0.014314889907836914","0.014314889907836914","0.00073","0.00073","0.00073","0.007818460464477539","0.007818460464477539","0.007818460464477539"
"14","4.437863999999999","4.437863999999999","4.437863999999999","0","0","0","0","0","0","4.767161","4.767161","4.767161","0.002475","0.002475","0.002475","0.008916378021240234","0.008916378021240234","0.008916378021240234","0.002455","0.002455","0.002455","0.008796453475952148","0.008796453475952148","0.008796453475952148"
"15","5.501353","5.501353","5.501353","0","0","0","0","0","0","0.119265","0.119265","0.119265","0.000989","0.000989","0.000989","0.018109560012817383","0.018109560012817383","0.018109560012817383","0.000601","0.000601","0.000601","0.011106729507446289","0.011106729507446289","0.011106729507446289"
"16","0.079357","0.079357","0.079357","0","0","0","0","0","0","0.080342","0.080342","0.080342","0.00333","0.00333","0.00333","0.02613353729248047","0.02613353729248047","0.02613353729248047","0.003355","0.003355","0.003355","0.014941930770874023","0.014941930770874023","0.014941930770874023"
"17","0.011668","0.011668","0.011668","0","0","0","0","0","0","0.011715","0.011715","0.011715","0.052268","0.052268","0.052268","0.045310020446777344","0.045310020446777344","0.045310020446777344","0.051991","0.051991","0.051991","0.02306509017944336","0.02306509017944336","0.02306509017944336"
"18","0.395688","0.395688","0.395688","0","0","0","0","0","0","0.403202","0.403202","0.403202","0.022684000000000003","0.022684000000000003","0.022684000000000003","0.03164100646972656","0.03164100646972656","0.03164100646972656","0.022862999999999998","0.022862999999999998","0.022862999999999998","0.022020816802978516","0.022020816802978516","0.022020816802978516"
"19","16.003057000000002","16.003057000000002","16.003057000000002","0","0","0","0","0","0","15.862255999999999","15.862255999999999","15.862255999999999","0.004283","0.004283","0.004283","0.009307622909545898","0.009307622909545898","0.009307622909545898","0.004293999999999999","0.004293999999999999","0.004293999999999999","0.010476112365722656","0.010476112365722656","0.010476112365722656"
"20","0.011877","0.011877","0.011877","0","0","0","0","0","0","0.012376","0.012376","0.012376","0.000773","0.000773","0.000773","0.013771295547485352","0.013771295547485352","0.013771295547485352","0.0007740000000000001","0.0007740000000000001","0.0007740000000000001","0.006821393966674805","0.006821393966674805","0.006821393966674805"
"21","0.21191300000000002","0.21191300000000002","0.21191300000000002","0","0","0","0","0","0","0.192155","0.192155","0.192155","0.003468","0.003468","0.003468","0.027281761169433594","0.027281761169433594","0.027281761169433594","0.00363","0.00363","0.00363","0.015036344528198242","0.015036344528198242","0.015036344528198242"
"22","1.971147","1.971147","1.971147","0","0","0","0","0","0","1.971536","1.971536","1.971536","0.054668999999999995","0.054668999999999995","0.054668999999999995","0.0365447998046875","0.0365447998046875","0.0365447998046875","0.054556","0.054556","0.054556","0.01524662971496582","0.01524662971496582","0.01524662971496582"
"23","22.591161","22.591161","22.591161","0","0","0","0","0","0","0.012393000000000001","0.012393000000000001","0.012393000000000001","0.000764","0.000764","0.000764","0.013357162475585938","0.013357162475585938","0.013357162475585938","0.00163","0.00163","0.00163","0.008411169052124023","0.008411169052124023","0.008411169052124023"
"24","1.0612940000000002","1.0612940000000002","1.0612940000000002","0","0","0","0","0","0","0.058206","0.058206","0.058206","0.063424","0.063424","0.063424","0.038230180740356445","0.038230180740356445","0.038230180740356445","0.14475200000000002","0.14475200000000002","0.14475200000000002","0.028864383697509766","0.028864383697509766","0.028864383697509766"
"25","0.220105","0.220105","0.220105","0","0","0","0","0","0","0.221999","0.221999","0.221999","0.09132299999999999","0.09132299999999999","0.09132299999999999","0.06232285499572754","0.06232285499572754","0.06232285499572754","0.08878799999999999","0.08878799999999999","0.08878799999999999","0.020830392837524414","0.020830392837524414","0.020830392837524414"
"26","0.6558809999999999","0.6558809999999999","0.6558809999999999","0","0","0","0","0","0","0.6822480000000001","0.6822480000000001","0.6822480000000001","0.027417999999999998","0.027417999999999998","0.027417999999999998","0.03662896156311035","0.03662896156311035","0.03662896156311035","0.027317","0.027317","0.027317","0.023154020309448242","0.023154020309448242","0.023154020309448242"
"27","2.668467","2.668467","2.668467","0","0","0","0","0","0","2.626004","2.626004","2.626004","0.005704","0.005704","0.005704","0.015137672424316406","0.015137672424316406","0.015137672424316406","0.006745","0.006745","0.006745","0.009814262390136719","0.009814262390136719","0.009814262390136719"
"28","3.829094","3.829094","3.829094","0","0","0","0","0","0","3.941335","3.941335","3.941335","0.052321","0.052321","0.052321","0.029032468795776367","0.029032468795776367","0.029032468795776367","0.052287999999999994","0.052287999999999994","0.052287999999999994","0.02390742301940918","0.02390742301940918","0.02390742301940918"
"29","0.026506000000000002","0.026506000000000002","0.026506000000000002","0","0","0","0","0","0","0.026343","0.026343","0.026343","0.052294","0.052294","0.052294","0.04615664482116699","0.04615664482116699","0.04615664482116699","0.051777000000000004","0.051777000000000004","0.051777000000000004","0.12096118927001953","0.12096118927001953","0.12096118927001953"
"30","2.191993","2.191993","2.191993","0","0","0","0","0","0","0.09340699999999999","0.09340699999999999","0.09340699999999999","0.0008209999999999999","0.0008209999999999999","0.0008209999999999999","0.01776432991027832","0.01776432991027832","0.01776432991027832","0.000539","0.000539","0.000539","0.008710145950317383","0.008710145950317383","0.008710145950317383"
"31","1.816675","1.816675","1.816675","0","0","0","0","0","0","1.851278","1.851278","1.851278","0.012457000000000001","0.012457000000000001","0.012457000000000001","0.023621559143066406","0.023621559143066406","0.023621559143066406","0.015302","0.015302","0.015302","0.017517805099487305","0.017517805099487305","0.017517805099487305"
"32","0.175233","0.175233","0.175233","0","0","0","0","0","0","0.17799600000000002","0.17799600000000002","0.17799600000000002","0.006730000000000001","0.006730000000000001","0.006730000000000001","0.030098915100097656","0.030098915100097656","0.030098915100097656","0.00508","0.00508","0.00508","0.016097068786621094","0.016097068786621094","0.016097068786621094"
"33","0.121455","0.121455","0.121455","0","0","0","0","0","0","0.121359","0.121359","0.121359","0.003588","0.003588","0.003588","0.02251458168029785","0.02251458168029785","0.02251458168029785","0.003606","0.003606","0.003606","0.10787820816040039","0.10787820816040039","0.10787820816040039"
"34","0.072943","0.072943","0.072943","0","0","0","0","0","0","0.073869","0.073869","0.073869","0.00087","0.00087","0.00087","0.016610383987426758","0.016610383987426758","0.016610383987426758","0.000888","0.000888","0.000888","0.007895708084106445","0.007895708084106445","0.007895708084106445"
"35","109.584374","109.584374","109.584374","0","0","0","0","0","0","0.139906","0.139906","0.139906","0.0035670000000000003","0.0035670000000000003","0.0035670000000000003","0.021560192108154297","0.021560192108154297","0.021560192108154297","0.013385999999999999","0.013385999999999999","0.013385999999999999","0.013687372207641602","0.013687372207641602","0.013687372207641602"
