"Step","2023_11_03__022950 - hinter_latency","2023_11_03__022950 - hinter_latency__MIN","2023_11_03__022950 - hinter_latency__MAX","2023_11_03__022950 - test_query","2023_11_03__022950 - test_query__MIN","2023_11_03__022950 - test_query__MAX","2023_11_03__022950 - epoch","2023_11_03__022950 - epoch__MIN","2023_11_03__022950 - epoch__MAX","2023_11_03__022950 - pg_lateny","2023_11_03__022950 - pg_lateny__MIN","2023_11_03__022950 - pg_lateny__MAX","2023_11_03__022950 - pg_plan_time","2023_11_03__022950 - pg_plan_time__MIN","2023_11_03__022950 - pg_plan_time__MAX","2023_11_03__022950 - mcts_time","2023_11_03__022950 - mcts_time__MIN","2023_11_03__022950 - mcts_time__MAX","2023_11_03__022950 - hinter_plan_time","2023_11_03__022950 - hinter_plan_time__MIN","2023_11_03__022950 - hinter_plan_time__MAX","2023_11_03__022950 - MPHE_time","2023_11_03__022950 - MPHE_time__MIN","2023_11_03__022950 - MPHE_time__MAX"
"0","0.096803","0.096803","0.096803","0","0","0","0","0","0","0.076071","0.076071","0.076071","0.0038669999999999998","0.0038669999999999998","0.0038669999999999998","0.3398284912109375","0.3398284912109375","0.3398284912109375","0.003982","0.003982","0.003982","0.07294416427612305","0.07294416427612305","0.07294416427612305"
"1","0.019148","0.019148","0.019148","0","0","0","0","0","0","0.019524","0.019524","0.019524","0.053539","0.053539","0.053539","0.048334598541259766","0.048334598541259766","0.048334598541259766","0.053204","0.053204","0.053204","0.024350404739379883","0.024350404739379883","0.024350404739379883"
"2","0.119867","0.119867","0.119867","0","0","0","0","0","0","0.116652","0.116652","0.116652","0.000964","0.000964","0.000964","0.01834869384765625","0.01834869384765625","0.01834869384765625","0.000969","0.000969","0.000969","0.00978398323059082","0.00978398323059082","0.00978398323059082"
"3","0.185734","0.185734","0.185734","0","0","0","0","0","0","0.183014","0.183014","0.183014","0.005436","0.005436","0.005436","0.022019147872924805","0.022019147872924805","0.022019147872924805","0.005454","0.005454","0.005454","0.015447378158569336","0.015447378158569336","0.015447378158569336"
"4","1.085415","1.085415","1.085415","0","0","0","0","0","0","1.088183","1.088183","1.088183","0.010727","0.010727","0.010727","0.02286052703857422","0.02286052703857422","0.02286052703857422","0.011374","0.011374","0.011374","0.0123748779296875","0.0123748779296875","0.0123748779296875"
"5","0.024703","0.024703","0.024703","0","0","0","0","0","0","0.024187","0.024187","0.024187","0.08880299999999999","0.08880299999999999","0.08880299999999999","0.05986332893371582","0.05986332893371582","0.05986332893371582","0.089249","0.089249","0.089249","0.031412601470947266","0.031412601470947266","0.031412601470947266"
"6","0.478272","0.478272","0.478272","0","0","0","0","0","0","0.482031","0.482031","0.482031","0.009451000000000001","0.009451000000000001","0.009451000000000001","0.02568364143371582","0.02568364143371582","0.02568364143371582","0.009443","0.009443","0.009443","0.010563373565673828","0.010563373565673828","0.010563373565673828"
"7","0.197732","0.197732","0.197732","0","0","0","0","0","0","0.19848500000000002","0.19848500000000002","0.19848500000000002","0.000749","0.000749","0.000749","0.014415502548217773","0.014415502548217773","0.014415502548217773","0.000721","0.000721","0.000721","0.006102323532104492","0.006102323532104492","0.006102323532104492"
"8","5.121967","5.121967","5.121967","0","0","0","0","0","0","5.128497","5.128497","5.128497","0.008038","0.008038","0.008038","0.03028106689453125","0.03028106689453125","0.03028106689453125","0.008127","0.008127","0.008127","0.01072239875793457","0.01072239875793457","0.01072239875793457"
"9","0.127273","0.127273","0.127273","0","0","0","0","0","0","0.130422","0.130422","0.130422","0.0037440000000000004","0.0037440000000000004","0.0037440000000000004","0.02717900276184082","0.02717900276184082","0.02717900276184082","0.00365","0.00365","0.00365","0.017529964447021484","0.017529964447021484","0.017529964447021484"
