"Step","2023_11_03__214625 - hinter_latency","2023_11_03__214625 - hinter_latency__MIN","2023_11_03__214625 - hinter_latency__MAX","2023_11_03__214625 - test_query","2023_11_03__214625 - test_query__MIN","2023_11_03__214625 - test_query__MAX","2023_11_03__214625 - epoch","2023_11_03__214625 - epoch__MIN","2023_11_03__214625 - epoch__MAX","2023_11_03__214625 - pg_lateny","2023_11_03__214625 - pg_lateny__MIN","2023_11_03__214625 - pg_lateny__MAX","2023_11_03__214625 - pg_plan_time","2023_11_03__214625 - pg_plan_time__MIN","2023_11_03__214625 - pg_plan_time__MAX","2023_11_03__214625 - mcts_time","2023_11_03__214625 - mcts_time__MIN","2023_11_03__214625 - mcts_time__MAX","2023_11_03__214625 - hinter_plan_time","2023_11_03__214625 - hinter_plan_time__MIN","2023_11_03__214625 - hinter_plan_time__MAX","2023_11_03__214625 - MPHE_time","2023_11_03__214625 - MPHE_time__MIN","2023_11_03__214625 - MPHE_time__MAX"
"0","0.09486","0.09486","0.09486","0","0","0","0","0","0","0.079918","0.079918","0.079918","0.00377","0.00377","0.00377","0.3257572650909424","0.3257572650909424","0.3257572650909424","0.003929","0.003929","0.003929","0.07390236854553223","0.07390236854553223","0.07390236854553223"
"1","4.552686","4.552686","4.552686","0","0","0","0","0","0","4.378856","4.378856","4.378856","0.002438","0.002438","0.002438","0.008939266204833984","0.008939266204833984","0.008939266204833984","0.002415","0.002415","0.002415","0.009577751159667969","0.009577751159667969","0.009577751159667969"
"2","0.19218700000000002","0.19218700000000002","0.19218700000000002","0","0","0","0","0","0","0.193676","0.193676","0.193676","0.005458","0.005458","0.005458","0.02163529396057129","0.02163529396057129","0.02163529396057129","0.006651","0.006651","0.006651","0.016359806060791016","0.016359806060791016","0.016359806060791016"
"3","0.022912","0.022912","0.022912","0","0","0","0","0","0","0.022294","0.022294","0.022294","0.087124","0.087124","0.087124","0.05955243110656738","0.05955243110656738","0.05955243110656738","0.08734399999999999","0.08734399999999999","0.08734399999999999","0.02962946891784668","0.02962946891784668","0.02962946891784668"
"4","0.153085","0.153085","0.153085","0","0","0","0","0","0","0.155202","0.155202","0.155202","0.001174","0.001174","0.001174","0.017926931381225586","0.017926931381225586","0.017926931381225586","0.001193","0.001193","0.001193","0.007956743240356445","0.007956743240356445","0.007956743240356445"
"5","0.28494400000000003","0.28494400000000003","0.28494400000000003","0","0","0","0","0","0","0.265042","0.265042","0.265042","0.004339000000000001","0.004339000000000001","0.004339000000000001","0.018328189849853516","0.018328189849853516","0.018328189849853516","0.003769","0.003769","0.003769","0.012696504592895508","0.012696504592895508","0.012696504592895508"
"6","0.453005","0.453005","0.453005","0","0","0","0","0","0","0.452361","0.452361","0.452361","0.009250999999999999","0.009250999999999999","0.009250999999999999","0.02648019790649414","0.02648019790649414","0.02648019790649414","0.009219","0.009219","0.009219","0.01790785789489746","0.01790785789489746","0.01790785789489746"
"7","1.145553","1.145553","1.145553","0","0","0","0","0","0","1.15974","1.15974","1.15974","0.011948","0.011948","0.011948","0.022707700729370117","0.022707700729370117","0.022707700729370117","0.012178000000000001","0.012178000000000001","0.012178000000000001","0.010982990264892578","0.010982990264892578","0.010982990264892578"
"8","0.042647","0.042647","0.042647","0","0","0","0","0","0","0.042268","0.042268","0.042268","0.008898999999999999","0.008898999999999999","0.008898999999999999","0.032230377197265625","0.032230377197265625","0.032230377197265625","0.011574999999999998","0.011574999999999998","0.011574999999999998","0.020195722579956055","0.020195722579956055","0.020195722579956055"
"9","8.724597","8.724597","8.724597","0","0","0","0","0","0","8.589103","8.589103","8.589103","0.002412","0.002412","0.002412","0.00916290283203125","0.00916290283203125","0.00916290283203125","0.002404","0.002404","0.002404","0.008710622787475586","0.008710622787475586","0.008710622787475586"
