"Step","2023_12_08__154958 - hinter_latency","2023_12_08__154958 - hinter_latency__MIN","2023_12_08__154958 - hinter_latency__MAX","2023_12_08__154958 - test_query","2023_12_08__154958 - test_query__MIN","2023_12_08__154958 - test_query__MAX","2023_12_08__154958 - epoch","2023_12_08__154958 - epoch__MIN","2023_12_08__154958 - epoch__MAX","2023_12_08__154958 - pg_lateny","2023_12_08__154958 - pg_lateny__MIN","2023_12_08__154958 - pg_lateny__MAX","2023_12_08__154958 - pg_plan_time","2023_12_08__154958 - pg_plan_time__MIN","2023_12_08__154958 - pg_plan_time__MAX","2023_12_08__154958 - mcts_time","2023_12_08__154958 - mcts_time__MIN","2023_12_08__154958 - mcts_time__MAX","2023_12_08__154958 - hinter_plan_time","2023_12_08__154958 - hinter_plan_time__MIN","2023_12_08__154958 - hinter_plan_time__MAX","2023_12_08__154958 - MPHE_time","2023_12_08__154958 - MPHE_time__MIN","2023_12_08__154958 - MPHE_time__MAX"
"0","0.018979","0.018979","0.018979","0","0","0","0","0","0","0.018758","0.018758","0.018758","0.342086","0.342086","0.342086","23.71061134338379","23.71061134338379","23.71061134338379","0.34334699999999996","0.34334699999999996","0.34334699999999996","0.029784679412841797","0.029784679412841797","0.029784679412841797"
"1","0.382007","0.382007","0.382007","0","0","0","0","0","0","0.42383","0.42383","0.42383","0.019018","0.019018","0.019018","0.023171186447143555","0.023171186447143555","0.023171186447143555","0.019725000000000003","0.019725000000000003","0.019725000000000003","0.016013622283935547","0.016013622283935547","0.016013622283935547"
"2","0.467734","0.467734","0.467734","0","0","0","0","0","0","0.478617","0.478617","0.478617","0.033932000000000004","0.033932000000000004","0.033932000000000004","0.026638269424438477","0.026638269424438477","0.026638269424438477","0.032716","0.032716","0.032716","0.019135475158691406","0.019135475158691406","0.019135475158691406"
"3","0.055973999999999996","0.055973999999999996","0.055973999999999996","0","0","0","0","0","0","0.054909999999999994","0.054909999999999994","0.054909999999999994","0.0014830000000000002","0.0014830000000000002","0.0014830000000000002","0.015036344528198242","0.015036344528198242","0.015036344528198242","0.002264","0.002264","0.002264","0.00733184814453125","0.00733184814453125","0.00733184814453125"
"4","0.09696099999999999","0.09696099999999999","0.09696099999999999","0","0","0","0","0","0","0.097491","0.097491","0.097491","0.001495","0.001495","0.001495","0.01212620735168457","0.01212620735168457","0.01212620735168457","0.0014830000000000002","0.0014830000000000002","0.0014830000000000002","0.007117509841918945","0.007117509841918945","0.007117509841918945"
"5","2.777987","2.777987","2.777987","0","0","0","0","0","0","2.7875680000000003","2.7875680000000003","2.7875680000000003","0.001373","0.001373","0.001373","0.012230396270751953","0.012230396270751953","0.012230396270751953","0.001456","0.001456","0.001456","0.007418155670166016","0.007418155670166016","0.007418155670166016"
"6","0.377087","0.377087","0.377087","0","0","0","0","0","0","0.444369","0.444369","0.444369","0.008992000000000002","0.008992000000000002","0.008992000000000002","0.017615795135498047","0.017615795135498047","0.017615795135498047","0.008632999999999998","0.008632999999999998","0.008632999999999998","0.01363229751586914","0.01363229751586914","0.01363229751586914"
"7","0.63295","0.63295","0.63295","0","0","0","0","0","0","0.6261509999999999","0.6261509999999999","0.6261509999999999","0.010485","0.010485","0.010485","0.022580623626708984","0.022580623626708984","0.022580623626708984","0.010231","0.010231","0.010231","0.01579880714416504","0.01579880714416504","0.01579880714416504"
"8","0.147283","0.147283","0.147283","0","0","0","0","0","0","0.143912","0.143912","0.143912","0.033256","0.033256","0.033256","0.0269777774810791","0.0269777774810791","0.0269777774810791","0.033211","0.033211","0.033211","0.01906728744506836","0.01906728744506836","0.01906728744506836"
"9","0.142621","0.142621","0.142621","0","0","0","0","0","0","0.145286","0.145286","0.145286","0.033366","0.033366","0.033366","0.028963088989257812","0.028963088989257812","0.028963088989257812","0.033172","0.033172","0.033172","0.019257068634033203","0.019257068634033203","0.019257068634033203"
"10","0.019752","0.019752","0.019752","0","0","0","0","0","0","0.019382","0.019382","0.019382","0.355836","0.355836","0.355836","0.010650396347045898","0.010650396347045898","0.010650396347045898","0.361136","0.361136","0.361136","0.020088672637939453","0.020088672637939453","0.020088672637939453"
"11","0.049095999999999994","0.049095999999999994","0.049095999999999994","0","0","0","0","0","0","0.049377000000000004","0.049377000000000004","0.049377000000000004","0.01094","0.01094","0.01094","0.013599634170532227","0.013599634170532227","0.013599634170532227","0.01061","0.01061","0.01061","0.016100406646728516","0.016100406646728516","0.016100406646728516"
"12","180","180","180","0","0","0","0","0","0","2.072357","2.072357","2.072357","0.098547","0.098547","0.098547","0.026365995407104492","0.026365995407104492","0.026365995407104492","0.02","0.02","0.02","0.015700817108154297","0.015700817108154297","0.015700817108154297"
"13","0.061686","0.061686","0.061686","0","0","0","0","0","0","0.060639000000000005","0.060639000000000005","0.060639000000000005","0.001351","0.001351","0.001351","0.014475584030151367","0.014475584030151367","0.014475584030151367","0.0013460000000000002","0.0013460000000000002","0.0013460000000000002","0.007117509841918945","0.007117509841918945","0.007117509841918945"
"14","0.045166","0.045166","0.045166","0","0","0","0","0","0","0.046107999999999996","0.046107999999999996","0.046107999999999996","0.009609999999999999","0.009609999999999999","0.009609999999999999","0.018233299255371094","0.018233299255371094","0.018233299255371094","0.009667","0.009667","0.009667","0.017490863800048828","0.017490863800048828","0.017490863800048828"
"15","4.826817","4.826817","4.826817","0","0","0","0","0","0","4.8752439999999995","4.8752439999999995","4.8752439999999995","0.01044","0.01044","0.01044","0.022842884063720703","0.022842884063720703","0.022842884063720703","0.010468","0.010468","0.010468","0.01008296012878418","0.01008296012878418","0.01008296012878418"
"16","0.046648","0.046648","0.046648","0","0","0","0","0","0","0.042103","0.042103","0.042103","0.018574","0.018574","0.018574","0.014111757278442383","0.014111757278442383","0.014111757278442383","0.018267","0.018267","0.018267","0.015511035919189453","0.015511035919189453","0.015511035919189453"
"17","0.048226","0.048226","0.048226","0","0","0","0","0","0","0.049189","0.049189","0.049189","0.336606","0.336606","0.336606","0.010418176651000977","0.010418176651000977","0.010418176651000977","0.33761","0.33761","0.33761","0.02096247673034668","0.02096247673034668","0.02096247673034668"
"18","2.1081619999999996","2.1081619999999996","2.1081619999999996","0","0","0","0","0","0","1.941564","1.941564","1.941564","0.001306","0.001306","0.001306","0.012657403945922852","0.012657403945922852","0.012657403945922852","0.001314","0.001314","0.001314","0.006742715835571289","0.006742715835571289","0.006742715835571289"
"19","1.3140239999999999","1.3140239999999999","1.3140239999999999","0","0","0","0","0","0","1.328547","1.328547","1.328547","0.099355","0.099355","0.099355","0.026327848434448242","0.026327848434448242","0.026327848434448242","0.10093899999999999","0.10093899999999999","0.10093899999999999","0.016329050064086914","0.016329050064086914","0.016329050064086914"
"20","2.202493","2.202493","2.202493","0","0","0","0","0","0","1.949193","1.949193","1.949193","0.001351","0.001351","0.001351","0.01269221305847168","0.01269221305847168","0.01269221305847168","0.00147","0.00147","0.00147","0.006851911544799805","0.006851911544799805","0.006851911544799805"
"21","0.013127000000000002","0.013127000000000002","0.013127000000000002","0","0","0","0","0","0","0.013044","0.013044","0.013044","0.0011819999999999999","0.0011819999999999999","0.0011819999999999999","0.015241384506225586","0.015241384506225586","0.015241384506225586","0.0012649999999999998","0.0012649999999999998","0.0012649999999999998","0.008979320526123047","0.008979320526123047","0.008979320526123047"
"22","1.916856","1.916856","1.916856","0","0","0","0","0","0","1.910021","1.910021","1.910021","0.010378","0.010378","0.010378","0.023128747940063477","0.023128747940063477","0.023128747940063477","0.010048","0.010048","0.010048","0.009669303894042969","0.009669303894042969","0.009669303894042969"
"23","4.634486","4.634486","4.634486","0","0","0","0","0","0","4.166854","4.166854","4.166854","0.028697","0.028697","0.028697","0.026554107666015625","0.026554107666015625","0.026554107666015625","0.031029","0.031029","0.031029","0.019643783569335938","0.019643783569335938","0.019643783569335938"
"24","0.110366","0.110366","0.110366","0","0","0","0","0","0","0.10775","0.10775","0.10775","0.010797000000000001","0.010797000000000001","0.010797000000000001","0.014295578002929688","0.014295578002929688","0.014295578002929688","0.011207","0.011207","0.011207","0.016153812408447266","0.016153812408447266","0.016153812408447266"
"25","0.043531999999999994","0.043531999999999994","0.043531999999999994","0","0","0","0","0","0","0.036296999999999996","0.036296999999999996","0.036296999999999996","0.01184","0.01184","0.01184","0.01386880874633789","0.01386880874633789","0.01386880874633789","0.017873","0.017873","0.017873","0.015059232711791992","0.015059232711791992","0.015059232711791992"
"26","0.043745","0.043745","0.043745","0","0","0","0","0","0","0.035262999999999996","0.035262999999999996","0.035262999999999996","0.016793","0.016793","0.016793","0.013800859451293945","0.013800859451293945","0.013800859451293945","0.012302","0.012302","0.012302","0.014566183090209961","0.014566183090209961","0.014566183090209961"
"27","0.05385","0.05385","0.05385","0","0","0","0","0","0","0.06908700000000001","0.06908700000000001","0.06908700000000001","0.01002","0.01002","0.01002","0.013306379318237305","0.013306379318237305","0.013306379318237305","0.01027","0.01027","0.01027","0.013184309005737305","0.013184309005737305","0.013184309005737305"
"28","0.62602","0.62602","0.62602","0","0","0","0","0","0","0.62193","0.62193","0.62193","0.018626999999999998","0.018626999999999998","0.018626999999999998","0.026126861572265625","0.026126861572265625","0.026126861572265625","0.019312000000000003","0.019312000000000003","0.019312000000000003","0.020260095596313477","0.020260095596313477","0.020260095596313477"
"29","0.054179000000000005","0.054179000000000005","0.054179000000000005","0","0","0","0","0","0","0.053883","0.053883","0.053883","0.008326","0.008326","0.008326","0.01793956756591797","0.01793956756591797","0.01793956756591797","0.008322","0.008322","0.008322","0.013850688934326172","0.013850688934326172","0.013850688934326172"
"30","0.02082","0.02082","0.02082","0","0","0","0","0","0","0.019223","0.019223","0.019223","0.009519","0.009519","0.009519","0.01863718032836914","0.01863718032836914","0.01863718032836914","0.009897","0.009897","0.009897","0.015473127365112305","0.015473127365112305","0.015473127365112305"
"31","0.007672","0.007672","0.007672","0","0","0","0","0","0","0.008003","0.008003","0.008003","0.009115999999999999","0.009115999999999999","0.009115999999999999","0.018671035766601562","0.018671035766601562","0.018671035766601562","0.009183","0.009183","0.009183","0.012559890747070312","0.012559890747070312","0.012559890747070312"
"32","2.268718","2.268718","2.268718","0","0","0","0","0","0","2.4240720000000002","2.4240720000000002","2.4240720000000002","0.001373","0.001373","0.001373","0.012887239456176758","0.012887239456176758","0.012887239456176758","0.001469","0.001469","0.001469","0.006033658981323242","0.006033658981323242","0.006033658981323242"
"33","0.17102199999999998","0.17102199999999998","0.17102199999999998","0","0","0","0","0","0","0.167791","0.167791","0.167791","0.008394","0.008394","0.008394","0.01895737648010254","0.01895737648010254","0.01895737648010254","0.008356","0.008356","0.008356","0.01497340202331543","0.01497340202331543","0.01497340202331543"
"34","0.038069000000000006","0.038069000000000006","0.038069000000000006","0","0","0","0","0","0","0.044789","0.044789","0.044789","0.011436","0.011436","0.011436","0.013947248458862305","0.013947248458862305","0.013947248458862305","0.011644999999999999","0.011644999999999999","0.011644999999999999","0.014465093612670898","0.014465093612670898","0.014465093612670898"
"35","0.072796","0.072796","0.072796","0","0","0","0","0","0","0.07363","0.07363","0.07363","0.010112","0.010112","0.010112","0.013536453247070312","0.013536453247070312","0.013536453247070312","0.010119999999999999","0.010119999999999999","0.010119999999999999","0.014616966247558594","0.014616966247558594","0.014616966247558594"
"36","56.731213000000004","56.731213000000004","56.731213000000004","0","0","0","0","0","0","0.06417","0.06417","0.06417","0.041921999999999994","0.041921999999999994","0.041921999999999994","0.027183055877685547","0.027183055877685547","0.027183055877685547","0.013134","0.013134","0.013134","0.019367694854736328","0.019367694854736328","0.019367694854736328"
"37","0.025752","0.025752","0.025752","0","0","0","0","0","0","0.026134","0.026134","0.026134","0.010383","0.010383","0.010383","0.016042709350585938","0.016042709350585938","0.016042709350585938","0.009914","0.009914","0.009914","0.017938852310180664","0.017938852310180664","0.017938852310180664"
