"Step","2023_11_10__095453 - hinter_latency","2023_11_10__095453 - hinter_latency__MIN","2023_11_10__095453 - hinter_latency__MAX","2023_11_10__095453 - test_query","2023_11_10__095453 - test_query__MIN","2023_11_10__095453 - test_query__MAX","2023_11_10__095453 - epoch","2023_11_10__095453 - epoch__MIN","2023_11_10__095453 - epoch__MAX","2023_11_10__095453 - pg_lateny","2023_11_10__095453 - pg_lateny__MIN","2023_11_10__095453 - pg_lateny__MAX","2023_11_10__095453 - pg_plan_time","2023_11_10__095453 - pg_plan_time__MIN","2023_11_10__095453 - pg_plan_time__MAX","2023_11_10__095453 - mcts_time","2023_11_10__095453 - mcts_time__MIN","2023_11_10__095453 - mcts_time__MAX","2023_11_10__095453 - hinter_plan_time","2023_11_10__095453 - hinter_plan_time__MIN","2023_11_10__095453 - hinter_plan_time__MAX","2023_11_10__095453 - MPHE_time","2023_11_10__095453 - MPHE_time__MIN","2023_11_10__095453 - MPHE_time__MAX"
"0","0.057959000000000004","0.057959000000000004","0.057959000000000004","0","0","0","0","0","0","0.07307599999999999","0.07307599999999999","0.07307599999999999","0.001266","0.001266","0.001266","0.3662550449371338","0.3662550449371338","0.3662550449371338","0.0013089999999999998","0.0013089999999999998","0.0013089999999999998","0.014309883117675781","0.014309883117675781","0.014309883117675781"
"1","0.20315","0.20315","0.20315","0","0","0","0","0","0","0.22284600000000002","0.22284600000000002","0.22284600000000002","0.07334","0.07334","0.07334","0.02720499038696289","0.02720499038696289","0.02720499038696289","0.074916","0.074916","0.074916","0.019364356994628906","0.019364356994628906","0.019364356994628906"
"2","0.0432","0.0432","0.0432","0","0","0","0","0","0","0.043112000000000004","0.043112000000000004","0.043112000000000004","0.401865","0.401865","0.401865","0.009499311447143555","0.009499311447143555","0.009499311447143555","0.39822199999999996","0.39822199999999996","0.39822199999999996","0.021615028381347656","0.021615028381347656","0.021615028381347656"
"3","0.936945","0.936945","0.936945","0","0","0","0","0","0","0.962563","0.962563","0.962563","0.089124","0.089124","0.089124","0.024763822555541992","0.024763822555541992","0.024763822555541992","0.097191","0.097191","0.097191","0.015894412994384766","0.015894412994384766","0.015894412994384766"
"4","2.8009299999999997","2.8009299999999997","2.8009299999999997","0","0","0","0","0","0","2.6979360000000003","2.6979360000000003","2.6979360000000003","0.031691","0.031691","0.031691","0.02813887596130371","0.02813887596130371","0.02813887596130371","0.031596","0.031596","0.031596","0.017687320709228516","0.017687320709228516","0.017687320709228516"
"5","0.079723","0.079723","0.079723","0","0","0","0","0","0","0.077943","0.077943","0.077943","0.0014190000000000001","0.0014190000000000001","0.0014190000000000001","0.014130353927612305","0.014130353927612305","0.014130353927612305","0.00135","0.00135","0.00135","0.005367279052734375","0.005367279052734375","0.005367279052734375"
"6","2.979201","2.979201","2.979201","0","0","0","0","0","0","2.9944140000000004","2.9944140000000004","2.9944140000000004","0.07331900000000001","0.07331900000000001","0.07331900000000001","0.024891138076782227","0.024891138076782227","0.024891138076782227","0.073416","0.073416","0.073416","0.01780390739440918","0.01780390739440918","0.01780390739440918"
"7","0.144519","0.144519","0.144519","0","0","0","0","0","0","0.160642","0.160642","0.160642","0.008694","0.008694","0.008694","0.017786741256713867","0.017786741256713867","0.017786741256713867","0.008576","0.008576","0.008576","0.01348423957824707","0.01348423957824707","0.01348423957824707"
"8","0.478379","0.478379","0.478379","0","0","0","0","0","0","0.475193","0.475193","0.475193","0.07545","0.07545","0.07545","0.026161909103393555","0.026161909103393555","0.026161909103393555","0.075727","0.075727","0.075727","0.01742863655090332","0.01742863655090332","0.01742863655090332"
"9","0.134364","0.134364","0.134364","0","0","0","0","0","0","0.131488","0.131488","0.131488","0.032853","0.032853","0.032853","0.026796579360961914","0.026796579360961914","0.026796579360961914","0.032911","0.032911","0.032911","0.018995046615600586","0.018995046615600586","0.018995046615600586"
"10","0.044815","0.044815","0.044815","0","0","0","0","0","0","0.043415","0.043415","0.043415","0.410854","0.410854","0.410854","0.009394645690917969","0.009394645690917969","0.009394645690917969","0.41335","0.41335","0.41335","0.019498348236083984","0.019498348236083984","0.019498348236083984"
"11","0.551805","0.551805","0.551805","0","0","0","0","0","0","0.86122","0.86122","0.86122","0.06798799999999999","0.06798799999999999","0.06798799999999999","0.02785515785217285","0.02785515785217285","0.02785515785217285","0.066876","0.066876","0.066876","0.01823258399963379","0.01823258399963379","0.01823258399963379"
"12","0.995907","0.995907","0.995907","0","0","0","0","0","0","0.998013","0.998013","0.998013","0.091392","0.091392","0.091392","0.02524542808532715","0.02524542808532715","0.02524542808532715","0.09121800000000001","0.09121800000000001","0.09121800000000001","0.0231935977935791","0.0231935977935791","0.0231935977935791"
"13","0.378337","0.378337","0.378337","0","0","0","0","0","0","0.286253","0.286253","0.286253","0.074021","0.074021","0.074021","0.026073932647705078","0.026073932647705078","0.026073932647705078","0.074962","0.074962","0.074962","0.020581722259521484","0.020581722259521484","0.020581722259521484"
"14","0.054488999999999996","0.054488999999999996","0.054488999999999996","0","0","0","0","0","0","0.055133","0.055133","0.055133","0.009848","0.009848","0.009848","0.017484664916992188","0.017484664916992188","0.017484664916992188","0.009727","0.009727","0.009727","0.01442408561706543","0.01442408561706543","0.01442408561706543"
"15","0.097265","0.097265","0.097265","0","0","0","0","0","0","0.097229","0.097229","0.097229","0.010315","0.010315","0.010315","0.013723373413085938","0.013723373413085938","0.013723373413085938","0.010563000000000001","0.010563000000000001","0.010563000000000001","0.01204824447631836","0.01204824447631836","0.01204824447631836"
"16","0.044153","0.044153","0.044153","0","0","0","0","0","0","0.044107999999999994","0.044107999999999994","0.044107999999999994","0.010504","0.010504","0.010504","0.013388633728027344","0.013388633728027344","0.013388633728027344","0.010551999999999999","0.010551999999999999","0.010551999999999999","0.015415668487548828","0.015415668487548828","0.015415668487548828"
"17","0.007974","0.007974","0.007974","0","0","0","0","0","0","0.008072","0.008072","0.008072","0.009579","0.009579","0.009579","0.01857304573059082","0.01857304573059082","0.01857304573059082","0.009460000000000001","0.009460000000000001","0.009460000000000001","0.014173030853271484","0.014173030853271484","0.014173030853271484"
"18","0.012230000000000001","0.012230000000000001","0.012230000000000001","0","0","0","0","0","0","0.012123","0.012123","0.012123","0.001196","0.001196","0.001196","0.014855384826660156","0.014855384826660156","0.014855384826660156","0.001231","0.001231","0.001231","0.008123636245727539","0.008123636245727539","0.008123636245727539"
"19","0.025465","0.025465","0.025465","0","0","0","0","0","0","0.024426","0.024426","0.024426","0.009948","0.009948","0.009948","0.014850854873657227","0.014850854873657227","0.014850854873657227","0.010053000000000001","0.010053000000000001","0.010053000000000001","0.014779329299926758","0.014779329299926758","0.014779329299926758"
"20","6.085711","6.085711","6.085711","0","0","0","0","0","0","6.187018","6.187018","6.187018","0.07514799999999999","0.07514799999999999","0.07514799999999999","0.026216745376586914","0.026216745376586914","0.026216745376586914","0.076059","0.076059","0.076059","0.014502525329589844","0.014502525329589844","0.014502525329589844"
