query_ident;split;inference_time;planning_time;execution_time
1a;train;21.885719537734985;0.467;4.629
1b;train;23.381349802017212;0.519;0.152
1c;train;19.146240949630737;0.449;3.28
1d;train;20.27812170982361;0.564;0.196
2a;train;25.10602831840515;0.471;275.698
2b;train;17.985901832580566;0.464;271.429
2c;train;16.427303791046143;0.465;265.131
2d;train;18.333150386810303;0.483;382.653
3a;train;19.293635845184326;0.359;92.034
3b;train;18.09596347808838;0.327;54.78
3c;train;18.334267377853394;0.396;189.179
4a;train;20.35977077484131;0.487;65.531
4b;train;17.126086473464966;0.476;48.0
4c;train;20.682050943374634;0.532;83.6
5a;train;29.67728090286255;0.678;182.422
5b;train;27.825751781463623;0.556;100.468
5c;train;32.79490661621094;1.158;873.909
6a;train;27.071106910705566;1.654;180.829
6b;train;25.23760199546814;0.495;119.934
6c;train;23.108316898345947;0.396;8.285
6d;train;22.45655918121338;0.546;1301.517
6e;train;22.201478242874146;0.57;164.34
6f;train;20.62214422225952;0.48;2935.441
7a;train;172.74242210388184;2.289;108.487
7b;train;131.6248140335083;2.891;107.559
7c;train;205.96900963783264;5.762;1395.558
8a;train;124.9709689617157;3.881;586.36
8b;train;112.92784309387207;1.269;111.42
8c;train;108.31186318397522;0.957;10013.328
8d;train;109.86393642425537;0.993;9129.593
9a;train;286.8310036659241;2.951;181.654
9b;train;287.59956765174866;2.871;178.224
9c;train;303.40269923210144;5.241;418.777
9d;train;282.1256365776062;5.782;2632.892
10a;train;110.49751591682434;2.303;276.222
10b;train;108.5337131023407;1.387;196.007
10c;train;116.40504384040833;0.971;1696.948
11a;train;133.98072743415833;1.887;23.447
11b;train;98.95038342475891;1.834;14.17
11c;train;128.33052897453308;1.888;112.966
11d;train;107.0917010307312;1.821;123.099
12a;train;191.82274913787842;3.064;277.05
12b;train;147.92328333854675;2.074;88.764
12c;train;200.33323764801025;4.543;680.927
14a;train;162.82217073440552;1.796;162.448
14b;train;140.70375990867615;1.758;88.215
14c;train;167.64383125305176;1.873;365.602
16a;train;173.19518637657166;2.007;615.994
16b;train;145.98740482330322;1.982;18965.577
16c;train;148.93352818489075;1.964;1513.465
16d;train;147.7983067035675;1.93;1279.695
17a;train;99.96812772750854;1.201;2534.602
17b;train;81.36846828460693;1.217;4825.481
17c;train;71.44493269920349;1.19;618.311
17d;train;70.54246306419373;2.611;626.954
17e;train;71.7063500881195;1.174;17260.738
17f;train;80.71198678016663;1.363;16824.599
18a;train;123.50988054275513;2.042;271.283
18b;train;127.95691633224487;4.107;811.465
18c;train;128.51682925224304;4.284;2828.131
19a;train;898.9729990959167;8.932;225.426
19b;train;830.6505439281464;9.805;80.517
19c;train;965.3851203918457;11.066;379.393
19d;train;930.7892827987671;13.668;3001.226
21a;train;384.41374802589417;4.42;30.793
21b;train;366.17062163352966;4.365;21.467
21c;train;385.4432203769684;4.294;27.551
22a;train;848.7704429626465;13.491;380.177
22b;train;733.6531095504761;13.869;276.977
22c;train;853.0944871902466;13.495;1818.109
22d;train;865.6537699699402;13.802;685.273
23a;train;924.3679740428925;12.48;234.813
23b;train;827.9088323116302;12.619;27.219
23c;train;820.9072229862213;13.426;257.303
24a;train;2580.3347697257996;37.577;893.086
24b;train;2063.4325869083405;38.489;185.015
25a;train;428.49017095565796;10.863;1725.272
25b;train;326.9903404712677;4.373;178.533
25c;train;396.2074112892151;13.302;3190.438
27a;train;1704.545305967331;36.604;28.162
27b;train;1351.437270641327;37.136;25.458
27c;train;1668.6636016368866;36.392;26.282
28a;train;3331.2932987213135;121.365;504.601
28b;train;3154.9617309570312;123.254;275.025
28c;train;3135.261231660843;122.5;513.351
31a;train;1241.7707018852234;23.964;247.31
31b;train;1090.4887371063232;18.782;23613.855
31c;train;1139.069095134735;20.153;319.486
32a;train;24.118018865585327;0.709;81.417
32b;train;17.310126066207886;0.79;458.338
13a;test;240.87208104133606;7.742;19195.324
13b;test;200.1408805847168;2.906;139.397
13c;test;168.47297072410583;2.727;270.081
13d;test;230.21156096458435;10.241;19825.206
15a;test;417.39061975479126;5.02;298.446
15b;test;380.0782673358917;4.989;80.825
15c;test;500.0296428203583;5.89;600.945
15d;test;504.5250163078308;6.644;452.486
20a;test;417.62727546691895;5.357;1727.704
20b;test;357.97318029403687;5.537;678.066
20c;test;390.3650896549225;5.362;3035.361
26a;test;1114.2773933410645;31.083;6234.617
26b;test;1013.5296337604523;24.194;119.766
26c;test;1041.0427060127258;24.356;732.407
29a;test;26640.76112127304;2007.002;1053.568
29b;test;25852.304595947266;2029.33;16.503
29c;test;27521.913353919983;1962.229;1658.337
30a;test;1900.510460138321;34.83;2207.615
30b;test;1540.3893504142761;34.548;238.677
30c;test;1904.9931762218475;32.647;2435.041
33a;test;1753.984054327011;135.757;37.678
33b;test;1519.7957866191864;129.773;53.706
33c;test;1718.8242366313934;91.061;109.767
