query_ident;split;inference_time;planning_time;execution_time
1a;train;16.038636445999146;0.551;86.514
1b;train;15.968355894088745;0.501;79.15
1d;train;15.262160301208496;0.587;78.098
2a;train;14.846206188201904;0.478;274.63
2b;train;14.055154085159302;0.459;271.053
2c;train;13.584762334823608;0.457;262.642
3a;train;13.526487588882446;0.507;91.362
3c;train;14.495158195495605;0.397;187.466
4b;train;11.734700679779053;0.47;49.223
4c;train;13.627326250076294;0.443;81.366
5a;train;22.858351707458496;1.7;198.716
5b;train;23.84256672859192;0.606;98.053
6a;train;16.34633183479309;0.474;529.143
6b;train;13.943097591400146;0.489;269.28
6c;train;14.098690271377563;0.496;144.009
6e;train;18.258054494857788;0.476;827.195
6f;train;17.966824293136597;0.469;4371.488
7a;train;120.93760681152344;2.346;100.912
7c;train;130.47600269317627;4.602;1046.63
8b;train;84.84701180458069;1.263;109.039
8c;train;69.03447532653809;0.998;7066.796
8d;train;66.79846262931824;0.817;11232.799
9b;train;198.98312854766846;2.791;161.255
9c;train;212.8082413673401;2.893;361.543
9d;train;210.47675776481628;5.334;1336.649
10a;train;74.79525446891785;1.766;248.653
10b;train;74.73091459274292;1.399;178.296
11a;train;78.76538133621216;1.834;22.493
11b;train;71.54803609848022;1.85;6.089
11c;train;73.32131719589233;1.908;111.281
12b;train;93.2962155342102;3.037;90.121
12c;train;140.95877170562744;4.187;1166.473
13b;train;123.70205044746399;3.023;133.669
13c;train;118.20606112480164;3.92;103.082
13d;train;145.2290337085724;6.321;17026.533
14a;train;108.93916487693787;1.814;179.064
14c;train;115.50770664215088;1.814;418.604
15b;train;274.1659698486328;9.791;375.734
15c;train;338.679212808609;7.092;359.609
15d;train;328.21821880340576;8.928;459.519
16a;train;106.62510561943054;1.944;122.882
16b;train;108.44187879562378;1.877;30429.278
16c;train;104.49692392349243;1.894;2135.086
17a;train;70.1598973274231;1.257;13922.217
17c;train;56.28390908241272;1.483;266.6
17d;train;54.11818265914917;1.937;564.501
17e;train;54.56063270568848;1.209;14066.341
17f;train;66.28834533691406;1.35;27876.996
18a;train;83.29610252380371;2.094;377.2
18c;train;91.31835651397705;3.531;1851.025
19a;train;630.6726396083832;8.849;173.285
19b;train;613.5381765365601;8.777;81.025
19c;train;646.4437816143036;11.534;366.939
20a;train;237.31442379951477;10.109;1267.914
20c;train;244.22949266433716;10.959;1086.588
21b;train;246.21892309188843;4.154;19.569
21c;train;256.72975611686707;4.433;122.016
22b;train;563.0310297012329;13.648;150.681
22c;train;577.4165589809418;13.706;4760.37
22d;train;600.3200821876526;13.602;1028.381
23a;train;611.8572332859039;14.306;178.527
23c;train;630.2441465854645;12.149;9485.736
24b;train;1667.3704767227173;35.174;41.456
25a;train;289.3655366897583;11.558;867.843
25c;train;287.95571780204773;10.243;2074.87
26b;train;619.2430715560913;24.33;87.363
26c;train;687.4334418773651;23.933;1656.821
27b;train;1109.7647256851196;38.377;12.352
27c;train;1169.223440170288;36.117;30.843
28a;train;2371.805751800537;124.314;3661.471
28c;train;2340.165347099304;120.87;819.673
29a;train;20604.278575897217;1932.973;28.062
29b;train;21202.970537900925;1985.304;25.677
30b;train;1348.380103111267;36.749;484.186
30c;train;1370.1757144927979;38.953;1561.916
31b;train;827.984979391098;19.185;74.665
31c;train;851.5304536819458;18.016;293.772
32b;train;12.959238767623901;0.788;105.068
33a;train;1067.323807001114;128.63;52.823
33b;train;1040.2384586334229;128.606;10.857
1c;test;12.37230920791626;0.782;488.443
2d;test;16.095638275146484;0.463;303.793
3b;test;13.144017696380615;0.313;54.777
4a;test;14.59577465057373;0.439;64.872
5c;test;26.417924642562866;1.605;2062.364
6d;test;15.57542610168457;0.491;2465.382
7b;test;87.03288984298706;2.352;111.537
8a;test;88.24085116386414;3.682;593.275
9a;test;199.38772654533386;2.769;164.689
10c;test;80.17683720588684;0.803;1645.871
11d;test;80.30407047271729;1.994;126.851
12a;test;131.1750259399414;4.334;651.241
13a;test;149.94640588760376;3.326;11275.811
14b;test;100.58739447593689;1.769;91.982
15a;test;286.86316895484924;8.986;357.673
16d;test;111.9167685508728;1.966;2709.616
17b;test;56.985565423965454;1.294;27321.694
18b;test;91.18580079078674;4.021;769.578
19d;test;629.6069376468658;16.457;14716.643
20b;test;234.75119638442993;6.584;484.477
21a;test;249.66108107566833;4.198;71.413
22a;test;569.4880013465881;13.325;375.745
23b;test;568.5715556144714;12.319;42.692
24a;test;1719.0268211364746;37.363;806.163
25b;test;271.4338595867157;4.24;182.295
26a;test;678.3929464817047;23.442;694.148
27a;test;1137.8753554821014;35.648;1896.142
28b;test;2339.2933988571167;121.616;242.533
29c;test;20079.15084195137;1938.404;620.024
30a;test;1351.229476928711;35.208;2821.566
31a;test;857.1529476642609;20.367;175.048
32a;test;12.740507125854492;0.938;107.864
33c;test;1101.1786851882935;88.949;47.21
