query_ident;split;inference_time;planning_time;execution_time
1a;train;12.698850870132446;0.566;74.524
1b;train;15.118943452835083;0.643;1738.278
1c;train;12.433923244476318;0.516;154.948
1d;train;14.58338451385498;0.513;2121.524
2b;train;14.801905632019043;0.464;342.538
2c;train;13.8703031539917;0.426;26.223
2d;train;15.29190993309021;0.461;382.448
3a;train;12.39566969871521;0.379;91.486
3c;train;12.608583450317383;0.397;192.056
4a;train;13.81208610534668;0.408;53.201
4b;train;12.015361070632935;0.425;49.508
4c;train;13.340853452682495;0.418;68.97
5a;train;20.650522708892822;0.706;182.358
5b;train;19.155696630477905;0.555;123.401
5c;train;21.7948796749115;1.279;876.645
6a;train;16.287659645080566;0.499;177.964
6b;train;14.79428768157959;0.468;539.32
6c;train;14.442039012908936;0.402;8.682
6e;train;16.10977554321289;1.638;1263.748
6f;train;15.546966075897217;0.465;3178.115
7a;train;115.94177293777466;2.345;104.003
7b;train;84.19595980644226;2.002;97.901
7c;train;134.35321974754333;4.152;1059.662
8a;train;90.82534337043762;3.534;569.677
8b;train;81.96205425262451;1.375;82.851
8c;train;65.86994647979736;1.034;7592.521
8d;train;63.71301031112671;0.933;9122.926
9a;train;191.64193439483643;3.134;165.897
9c;train;211.18686866760254;3.752;356.544
9d;train;208.20273423194885;4.98;1798.976
10a;train;74.94154334068298;3.01;709.089
10c;train;84.12024068832397;0.836;1526.684
11a;train;81.50666236877441;1.845;22.717
11d;train;81.03991627693176;1.839;114.605
12a;train;123.88252806663513;2.397;118.352
12b;train;87.56615567207336;2.085;72.643
12c;train;134.7189862728119;4.397;440.041
13a;train;135.32985472679138;2.65;1046.55
13b;train;120.7894856929779;2.921;130.857
14a;train;109.38432812690735;1.793;164.274
14b;train;95.42822742462158;2.895;101.673
14c;train;114.93188524246216;1.727;420.109
15a;train;278.95115661621094;5.054;197.437
15b;train;274.44787096977234;9.45;390.047
15c;train;326.20899748802185;8.831;424.724
15d;train;327.5478036403656;6.66;373.746
16a;train;103.7381820678711;1.872;115.499
16c;train;101.47832489013672;1.913;1609.406
16d;train;103.70277237892151;2.036;1197.058
17a;train;67.54822015762329;1.15;2848.972
17b;train;55.171122550964355;3.198;2246.496
17c;train;57.214332580566406;1.508;308.249
17d;train;58.83964729309082;1.543;2219.276
17e;train;56.90929341316223;1.225;11671.825
17f;train;66.04665756225586;1.135;5057.767
18a;train;80.05566644668579;2.003;272.932
18b;train;88.61904382705688;1.732;136.847
19a;train;610.6400246620178;9.941;168.865
19b;train;580.0325791835785;8.286;91.411
19d;train;636.1089799404144;11.895;1953.321
20a;train;239.98563408851624;6.751;247.525
20b;train;229.64574122428894;5.553;224.481
20c;train;231.5471932888031;5.235;535.612
21a;train;247.4264199733734;4.249;25.526
21b;train;244.4419984817505;4.348;22.422
22b;train;556.3067626953125;13.784;176.636
22c;train;581.1553497314453;13.626;1876.017
23a;train;598.0996174812317;13.627;218.34
23b;train;559.5109529495239;12.681;26.632
23c;train;608.4080522060394;13.118;296.012
24a;train;1706.0754215717316;37.327;129.677
24b;train;1599.1769149303436;37.78;145.971
25a;train;293.83134293556213;10.238;784.625
25b;train;269.45723819732666;4.698;75.998
25c;train;289.3586311340332;4.28;4782.966
26c;train;677.4191942214966;23.391;3431.066
27a;train;1112.6561498641968;36.248;27.231
27b;train;1092.3926804065704;37.545;42.934
28b;train;2242.9448647499084;123.963;1028.364
29a;train;19596.649077415466;1956.038;251.087
29b;train;19486.86298274994;1993.887;84.561
29c;train;19934.570576429367;1967.671;346.232
30b;train;1322.0369353294373;36.181;3497.229
30c;train;1327.9523322582245;31.832;1276.755
31a;train;840.0779004096985;21.575;189.732
31b;train;792.0265412330627;18.479;54.304
31c;train;851.4689252376556;21.837;185.777
32a;train;13.789153814315796;0.747;408.236
32b;train;13.420200824737549;0.739;409.686
33a;train;1016.0792744159698;128.997;100.296
33b;train;984.2948520183563;124.003;34.307
2a;test;15.000150680541992;0.454;273.378
3b;test;12.583263874053955;0.319;54.317
6d;test;15.259675025939941;0.488;188.015
9b;test;193.69704055786133;2.806;164.01
10b;test;73.05218696594238;1.309;187.831
11b;test;71.45898938179016;1.841;5.881
11c;test;74.85389804840088;1.874;108.022
13c;test;117.20118379592896;2.837;102.327
13d;test;147.24859166145325;5.425;11086.119
16b;test;104.0285496711731;1.926;24470.964
18c;test;85.57228636741638;3.944;3101.596
19c;test;650.5500099658966;10.761;388.699
21c;test;257.45696473121643;4.217;27.379
22a;test;569.0113279819489;13.859;698.418
22d;test;593.1476781368256;13.424;3409.702
26a;test;654.9173922538757;22.847;770.404
26b;test;631.9522154331207;24.836;90.351
27c;test;1172.744606256485;36.62;27.661
28a;test;2338.5813171863556;119.34;1794.631
28c;test;2441.7380006313324;124.174;3320.819
30a;test;1321.1841068267822;34.626;1913.112
33c;test;1030.8494415283203;88.771;25.121
