query_ident;split;inference_time;planning_time;execution_time
q1__q1-009;train;21.73236846923828;1.437;1129.925
q1__q1-031;train;19.63760805130005;1.441;1133.848
q1__q1-035;train;19.72204327583313;1.438;1139.963
q1__q1-067;train;16.36771559715271;0.834;36.802
q1__q1-075;train;16.481948375701904;0.814;55.649
q1__q1-098;train;16.349287748336792;1.552;2415.741
q1__q1-099;train;16.617655277252197;1.497;2255.815
q1__q1-100;train;16.516624450683594;1.444;2250.822
q3__q3-018;train;260.2846848964691;0;360000
q3__q3-040;train;248.76290369033813;58.769;76819.511
q3__q3-043;train;178.54732036590576;54.102;14098.258
q3__q3-046;train;200.2820918560028;52.774;5878.725
q3__q3-066;train;225.2050666809082;0;360000
q3__q3-068;train;221.7428195476532;0;360000
q3__q3-086;train;222.86001896858215;0;360000
q3__q3-099;train;235.21879982948303;0;360000
q4__q4-002;train;59.426496267318726;3.282;65.223
q4__q4-026;train;57.7845139503479;3.483;351.883
q4__q4-041;train;54.38036131858826;3.328;113.92
q4__q4-042;train;57.265925884246826;3.311;45.658
q4__q4-064;train;58.45140838623047;3.18;42.302
q4__q4-074;train;50.78788614273071;3.249;96.187
q4__q4-086;train;49.801045417785645;3.394;89.445
q4__q4-089;train;58.488399505615234;3.357;74.344
q5__q5-015;train;121.55270147323608;3.236;19.153
q5__q5-032;train;120.84828400611877;8.254;759.989
q5__q5-041;train;119.38394808769226;3.386;1589.39
q5__q5-052;train;120.50130939483643;3.239;19.998
q5__q5-059;train;121.38359212875366;8.464;1568.95
q5__q5-077;train;118.86792635917664;3.146;19.41
q5__q5-079;train;121.86098623275757;9.619;1265.668
q5__q5-082;train;121.75727319717407;3.38;1436.734
q6__q6-002;train;95.36112689971924;3.14;23.679
q6__q6-009;train;88.42249274253845;3.301;18.486
q6__q6-060;train;84.65862274169922;3.126;22.706
q6__q6-064;train;91.42843723297119;3.191;21.159
q6__q6-065;train;87.55911207199097;3.395;26.3
q6__q6-067;train;76.9590859413147;3.245;26.876
q6__q6-069;train;86.60838627815247;3.24;23.739
q6__q6-085;train;87.54503536224365;3.282;20.337
q8__q8-006;train;447.964138507843;53.324;19.722
q8__q8-025;train;410.63660502433777;59.283;424.469
q8__q8-046;train;382.1195352077484;51.575;20.759
q8__q8-062;train;386.04653763771057;45.951;555.681
q8__q8-065;train;377.80207872390747;53.499;19.165
q8__q8-074;train;388.13879132270813;60.236;457.55
q8__q8-076;train;380.2188217639923;0;360000
q8__q8-096;train;378.4833164215088;53.2;19.367
q11__0ea8bacde0e13a4314466435cf49c8e685b39fb1;train;0.001201629638671875;3.531;115.959
q11__33e1caf220e5bea2e592c82eede1c0427e2c2570;train;0.0014164447784423828;3.496;85.909
q11__6c5cba419c5b7b02d431aeb5e766d775d812967a;train;0.0012197494506835938;3.522;177.193
q11__87c4bd0930b02a3361ac2e86c453db1fec60dc6b;train;0.0012841224670410156;1.345;276.975
q11__9389f58853715321e2a60ad743f99fc365f040cb;train;0.0011837482452392578;3.473;72.484
q11__aa96c8d7abbf8a5b6d29473c1b9447a84f8b4f52;train;0.0012111663818359375;1.309;65.845
q11__c1ae2a992cde4ea2c4922d852df22043254b4f84;train;0.0012359619140625;1.337;1821.229
q11__e4ca35591923cf4efc89e64b17fb4d330c0b34df;train;0.0012688636779785156;3.558;99.06
q12__06c8d6886a03d4d92837f38ff395b888de007d33;train;0.002268075942993164;8.251;82.522
q12__0700720596313f7fa30c0dd3d4a3001c896ba760;train;0.0018393993377685547;15.34;271.977
q12__547c6bf1994c9b2ba82a7ae32f4b051beabf46fd;train;0.0016570091247558594;8.08;42.343
q12__55de941e8497cfeeb93d3f8f2d7a18489e0e6c32;train;0.0016674995422363281;8.078;1120.27
q12__5a5ff9bd9de9e748708116727803117e453e30da;train;0.0017249584197998047;15.994;116.765
q12__76a47868a09eec9f95bacb2cf21492d353698eb7;train;0.00185394287109375;15.196;391.793
q12__812a3effb91cb789490fc2e12af772b1a35f8552;train;0.0015749931335449219;15.299;716.763
q12__bde6c0cf5e67ddae4ec0dbb787291da703e406d5;train;0.0016739368438720703;8.187;55.482
q14__4063b6cbbd1c0f2a902a647aafe24174a75f53cd;train;0.0022940635681152344;28.416;383.573
