query_ident;split;inference_time;planning_time;execution_time
q1__q1-009;train;12.795743227005005;0.748;2.809
q1__q1-031;train;11.877783298492432;0.857;9.415
q1__q1-035;train;12.15230393409729;0.834;3.094
q1__q1-067;train;12.22569489479065;0.82;30.074
q1__q1-075;train;12.183370351791382;0.813;55.722
q1__q1-098;train;11.886506795883179;2.16;2103.673
q1__q1-099;train;12.269898176193237;1.464;2031.497
q1__q1-100;train;12.389771938323975;0.909;2257.857
q3__q3-018;train;150.81904196739197;0;360000
q3__q3-040;train;149.4312436580658;0;360000
q3__q3-043;train;145.25701785087585;57.14;12975.062
q3__q3-046;train;145.43452882766724;60.872;7335.407
q3__q3-066;train;141.35610032081604;69.62;18962.25
q3__q3-068;train;143.827712059021;64.448;11643.199
q3__q3-086;train;145.94344997406006;64.768;8394.319
q3__q3-099;train;148.2636501789093;55.462;8179.615
q4__q4-002;train;38.0797381401062;3.989;66.955
q4__q4-026;train;37.102534532547;3.651;45.55
q4__q4-041;train;39.17246198654175;3.602;124.102
q4__q4-042;train;37.19508481025696;4.052;48.328
q4__q4-064;train;36.22981810569763;3.479;43.597
q4__q4-074;train;36.64389181137085;3.591;104.633
q4__q4-086;train;38.316611528396606;3.643;651.621
q4__q4-089;train;36.37406635284424;3.622;79.211
q5__q5-015;train;78.69331383705139;3.271;17.741
q5__q5-032;train;76.5672652721405;3.391;20.862
q5__q5-041;train;76.7184271812439;3.162;30.12
q5__q5-052;train;74.82916522026062;3.049;17.408
q5__q5-059;train;73.35792326927185;3.223;33.94
q5__q5-077;train;72.39574146270752;3.054;17.637
q5__q5-079;train;72.86481308937073;3.287;53.124
q5__q5-082;train;73.2423324584961;3.309;35.277
q6__q6-002;train;54.413633823394775;3.533;26.193
q6__q6-009;train;53.02388024330139;3.235;20.245
q6__q6-060;train;53.429091453552246;3.287;18.752
q6__q6-064;train;52.43437600135803;3.238;15.291
q6__q6-065;train;52.88227987289429;3.176;18.382
q6__q6-067;train;51.361207008361816;3.233;23.115
q6__q6-069;train;49.91718292236328;3.236;17.889
q6__q6-085;train;51.0930118560791;3.245;18.857
q8__q8-006;train;229.1673822402954;61.234;766.027
q8__q8-025;train;237.79229950904846;58.648;65.737
q8__q8-046;train;229.52022314071655;0;360000
q8__q8-062;train;231.58319425582886;0;360000
q8__q8-065;train;229.06273865699768;0;360000
q8__q8-074;train;238.81960940361023;58.185;86.176
q8__q8-076;train;230.7940845489502;61.4;901.811
q8__q8-096;train;232.4596393108368;62.023;831.314
q11__0ea8bacde0e13a4314466435cf49c8e685b39fb1;train;0.0012753009796142578;3.385;103.561
q11__33e1caf220e5bea2e592c82eede1c0427e2c2570;train;0.001373291015625;1.32;48.285
q11__6c5cba419c5b7b02d431aeb5e766d775d812967a;train;0.0012006759643554688;1.239;70.463
q11__87c4bd0930b02a3361ac2e86c453db1fec60dc6b;train;0.0012614727020263672;1.324;233.522
q11__9389f58853715321e2a60ad743f99fc365f040cb;train;0.0011749267578125;1.277;37.158
q11__aa96c8d7abbf8a5b6d29473c1b9447a84f8b4f52;train;0.001161336898803711;1.241;43.741
q11__c1ae2a992cde4ea2c4922d852df22043254b4f84;train;0.001196146011352539;1.276;1624.694
q11__e4ca35591923cf4efc89e64b17fb4d330c0b34df;train;0.0011739730834960938;1.313;95.377
q12__06c8d6886a03d4d92837f38ff395b888de007d33;train;0.0017421245574951172;13.259;95.697
q12__0700720596313f7fa30c0dd3d4a3001c896ba760;train;0.001825094223022461;11.03;153.04
q12__547c6bf1994c9b2ba82a7ae32f4b051beabf46fd;train;0.002117633819580078;7.759;40.878
q12__55de941e8497cfeeb93d3f8f2d7a18489e0e6c32;train;0.0016751289367675781;16.934;789.748
q12__5a5ff9bd9de9e748708116727803117e453e30da;train;0.0017595291137695312;13.987;78.35
q12__76a47868a09eec9f95bacb2cf21492d353698eb7;train;0.0018012523651123047;15.831;293.106
q12__812a3effb91cb789490fc2e12af772b1a35f8552;train;0.0018498897552490234;16.276;604.696
q12__bde6c0cf5e67ddae4ec0dbb787291da703e406d5;train;0.0016455650329589844;7.791;51.258
q14__4063b6cbbd1c0f2a902a647aafe24174a75f53cd;train;0.0018928050994873047;27.781;338.441
q14__5dbc1d1f1a0467ad0086e6cb337144387a37533a;train;0.0019376277923583984;38.067;3132.673
q14__5e4835cd72aaa2d7be15b2a5ffa2e66156b3656f;train;0.001958131790161133;30.796;122.62
q14__63c0776f1727638316b966fe748df7cc585a335b;train;0.001918792724609375;29.802;51.244
q14__719e692d411868ae7a93909757872d264f6bbf73;train;0.0021119117736816406;30.532;387.89
q14__74fd1af68d23f0690e3d0fc80bd9b42fa90a7e94;train;0.0018494129180908203;27.768;3380.016
q14__97e68ad5c2ced4c182366b3118a1f5f69b423fa6;train;0.002294778823852539;27.802;4229.16
q14__b49361f85785200ed6ec1f2eec357b7598c9e564;train;0.0019369125366210938;30.864;127.448
q15__21e4988a3f47be288de5891d69acf91928ed94eb;train;0.0017852783203125;25.986;201.626
q15__3e37e62655ceaebc14e79edad518e5710752f51d;train;0.0018057823181152344;26.141;383.836
q15__543ab3f730e494a69e3d15e59675f491544cb15d;train;0.0016255378723144531;25.135;212.109
q15__78995a5fc0536aa53b99be32ce84dcbf40e826f3;train;0.0017595291137695312;19.014;128.381
q15__b2ee2c788d30655058aeb992811e9a54f17f2998;train;0.002073526382446289;17.985;542.822
q15__b8ddf65b0c0c7867a9b560e571d457fec410715c;train;0.0016760826110839844;17.144;404.597
q15__c9619ad44302bada330d337c174f9dab77538622;train;0.0017893314361572266;16.595;390.064
q15__d5546c01928a687eb1f54e9f8eb4e1aff68fc381;train;0.0017392635345458984;17.451;102.778
q16__1e863562a79ca1f7754c759ebab6a2addda0bde8;train;0.0018107891082763672;9.556;3931.099
q16__374e3e4c9eefc294fa4c46220953336298df3622;train;0.0017306804656982422;9.63;5811.395
q16__b1a96cd48ba297dd93bce73c27b491069ad7449f;train;0.001708984375;10.029;540.815
q16__d5290889129fb8e625f2b36fa106e30d6c4b243b;train;0.001941680908203125;9.453;105.208
q16__ea9efde510227beb8d624b8c4a6941b9d5e6e637;train;0.0016913414001464844;9.859;332.689
q16__ed2ffeaefcf5ad8bbadc713ccc766541e12080aa;train;0.001678466796875;9.336;1056.975
q16__f67cec3d635586efb847c832072be83b42cc45b7;train;0.001613616943359375;9.482;141.645
q16__fbe34e8fdf672a34fd82cbbd6d9a81fd02ce17d1;train;0.0017011165618896484;18.004;3660.281
q2__q2-001;test;143.10167741775513;0;360000
q2__q2-012;test;146.23632550239563;27.02;8385.641
q2__q2-032;test;139.82678508758545;19.159;31512.538
q2__q2-035;test;141.23191690444946;0;360000
q2__q2-050;test;142.9055860042572;0;360000
q2__q2-081;test;142.33428072929382;20.174;12042.819
q2__q2-094;test;141.95526099205017;20.597;134243.635
q2__q2-098;test;144.4485433101654;20.591;127556.5
q7__q7-034;test;12.459258556365967;1.258;874.237
q7__q7-036;test;13.676652431488037;1.35;2443.94
q7__q7-047;test;12.691263675689697;1.241;922.731
q7__q7-077;test;13.091781377792358;1.238;864.401
q7__q7-082;test;13.143977880477905;1.275;2728.26
q7__q7-085;test;13.655891418457031;1.419;2498.154
q7__q7-095;test;13.756312131881714;1.24;2808.417
q7__q7-099;test;12.681583166122437;1.264;2659.027
q13__13ad1b8c6bea4fda1892b9fa82cc1ceb9ceb85fc;test;0.0020177364349365234;82.329;491.687
q13__1ddcc8650e17b292bc7344902baffc90c5ae5761;test;0.0021359920501708984;71.46;583.592
q13__935e2051bf80eeafe91aeb6eb719b6b64b9592c2;test;0.0032417774200439453;0;360000
q13__a091adce62743b65c04532e98e8ff3d7e546ea77;test;0.0023255348205566406;73.118;133.029
q13__a3d03772d880754fc4e150d82908757477ae2186;test;0.0020287036895751953;64.224;1138.305
q13__add0df9dccb2790c14508e19c9e0deb79fad6ea2;test;0.002569437026977539;64.559;523.957
q13__d383cd5b4aee7d3f73508e2a1fe5f6d0f7dd42a2;test;0.0020051002502441406;60.341;75.024
q13__d4707be2adfdbc842f42acb1fc16e3a43faf7474;test;0.001903533935546875;77.918;208.95
