query_ident;split;inference_time;planning_time;execution_time
q1__q1-009;train;21.690651893615723;0.596;12.499
q1__q1-031;train;19.81365132331848;0.615;13.481
q1__q1-067;train;16.666717767715454;0.649;44.579
q1__q1-075;train;17.24119210243225;0.745;61.988
q1__q1-098;train;16.995332717895508;0.694;2528.021
q1__q1-099;train;16.719650745391846;0.676;1972.496
q1__q1-100;train;16.49623465538025;0.705;2246.839
q2__q2-001;train;274.2438385486603;28.091;8022.852
q2__q2-012;train;237.25833344459534;26.13;10495.483
q2__q2-035;train;265.3644847869873;25.011;7223.492
q2__q2-050;train;236.33178544044495;27.53;13361.267
q2__q2-081;train;237.29662370681763;23.979;9555.534
q2__q2-094;train;216.83824634552002;28.324;8340.534
q2__q2-098;train;238.71636056900024;26.04;6842.355
q3__q3-018;train;272.26289081573486;50.7;8685.526
q3__q3-040;train;241.33810949325562;55.416;53965.968
q3__q3-046;train;225.5592541694641;56.412;5495.755
q3__q3-066;train;231.24212169647217;52.453;15660.511
q3__q3-068;train;221.07643938064575;53.71;4933.511
q3__q3-086;train;232.67600083351135;55.592;7106.6
q3__q3-099;train;226.7337007522583;55.009;6368.489
q4__q4-002;train;59.951738357543945;3.323;66.712
q4__q4-026;train;58.066089153289795;3.466;45.426
q4__q4-042;train;58.499146461486816;3.331;44.633
q4__q4-064;train;58.70950222015381;3.303;43.379
q4__q4-074;train;50.53567838668823;3.32;99.632
q4__q4-086;train;51.2981641292572;3.318;87.957
q4__q4-089;train;57.66153430938721;3.316;76.344
q5__q5-015;train;123.77339577674866;3.204;18.999
q5__q5-032;train;121.60979461669922;3.224;23.393
q5__q5-052;train;120.00467324256897;3.171;19.012
q5__q5-059;train;123.67522621154785;3.456;37.616
q5__q5-077;train;122.87190532684326;3.009;19.721
q5__q5-079;train;120.37152695655823;3.837;52.669
q5__q5-082;train;121.39998030662537;3.726;41.237
q6__q6-002;train;92.78953242301941;3.278;26.356
q6__q6-009;train;87.84729194641113;3.353;23.217
q6__q6-064;train;90.53807401657104;3.268;22.193
q6__q6-065;train;88.89025354385376;3.314;26.578
q6__q6-067;train;78.94272351264954;3.268;21.109
q6__q6-069;train;88.73270916938782;3.408;21.057
q6__q6-085;train;87.51962876319885;3.235;21.069
q7__q7-034;train;21.21971869468689;1.041;4998.323
q7__q7-036;train;19.869597911834717;1.325;867.48
q7__q7-077;train;18.505468606948853;1.333;887.73
q7__q7-082;train;19.902514457702637;1.315;870.333
q7__q7-085;train;20.157626390457153;1.259;1247.776
q7__q7-095;train;19.737430810928345;1.272;895.138
q7__q7-099;train;18.526821851730347;1.272;3788.57
q8__q8-006;train;445.55051255226135;0;360000
q8__q8-025;train;417.18865442276;57.05;132.8
q8__q8-062;train;394.49157190322876;60.377;1717.793
q8__q8-065;train;377.9095151424408;62.513;846.294
q8__q8-074;train;386.95352244377136;59.632;152.379
q8__q8-076;train;376.67646765708923;61.759;995.001
q8__q8-096;train;374.3194019794464;0;360000
q11__0ea8bacde0e13a4314466435cf49c8e685b39fb1;train;0.0009703636169433594;1.299;128.211
q11__33e1caf220e5bea2e592c82eede1c0427e2c2570;train;0.0014424324035644531;3.493;79.977
q11__87c4bd0930b02a3361ac2e86c453db1fec60dc6b;train;0.0012700557708740234;1.348;260.555
q11__9389f58853715321e2a60ad743f99fc365f040cb;train;0.0011446475982666016;1.307;40.53
q11__aa96c8d7abbf8a5b6d29473c1b9447a84f8b4f52;train;0.0011456012725830078;1.26;43.332
q11__c1ae2a992cde4ea2c4922d852df22043254b4f84;train;0.0011892318725585938;1.336;1785.485
q11__e4ca35591923cf4efc89e64b17fb4d330c0b34df;train;0.0012516975402832031;3.501;105.249
q12__06c8d6886a03d4d92837f38ff395b888de007d33;train;0.001775979995727539;15.54;114.776
q12__0700720596313f7fa30c0dd3d4a3001c896ba760;train;0.001905679702758789;15.987;181.798
q12__55de941e8497cfeeb93d3f8f2d7a18489e0e6c32;train;0.0016751289367675781;15.93;661.102
q12__5a5ff9bd9de9e748708116727803117e453e30da;train;0.0017154216766357422;15.397;103.785
q12__76a47868a09eec9f95bacb2cf21492d353698eb7;train;0.0018117427825927734;15.956;604.697
q12__812a3effb91cb789490fc2e12af772b1a35f8552;train;0.0018875598907470703;15.952;697.239
q12__bde6c0cf5e67ddae4ec0dbb787291da703e406d5;train;0.0016791820526123047;8.168;54.361
q13__13ad1b8c6bea4fda1892b9fa82cc1ceb9ceb85fc;train;0.002030611038208008;75.05;354.911
q13__1ddcc8650e17b292bc7344902baffc90c5ae5761;train;0.0019936561584472656;72.811;558.903
q13__a091adce62743b65c04532e98e8ff3d7e546ea77;train;0.0025806427001953125;73.533;219.819
q13__a3d03772d880754fc4e150d82908757477ae2186;train;0.003439664840698242;65.423;1077.22
q13__add0df9dccb2790c14508e19c9e0deb79fad6ea2;train;0.0021011829376220703;65.09;539.26
q13__d383cd5b4aee7d3f73508e2a1fe5f6d0f7dd42a2;train;0.003453493118286133;61.925;77.962
q13__d4707be2adfdbc842f42acb1fc16e3a43faf7474;train;0.0032088756561279297;80.249;361.752
q14__4063b6cbbd1c0f2a902a647aafe24174a75f53cd;train;0.0019540786743164062;28.67;365.808
q14__5dbc1d1f1a0467ad0086e6cb337144387a37533a;train;0.0019195079803466797;31.488;2866.207
q14__63c0776f1727638316b966fe748df7cc585a335b;train;0.0032219886779785156;37.222;59.412
q14__719e692d411868ae7a93909757872d264f6bbf73;train;0.0035953521728515625;30.835;418.758
q14__74fd1af68d23f0690e3d0fc80bd9b42fa90a7e94;train;0.0019385814666748047;28.109;3425.189
q14__97e68ad5c2ced4c182366b3118a1f5f69b423fa6;train;0.0033032894134521484;35.771;3417.58
q14__b49361f85785200ed6ec1f2eec357b7598c9e564;train;0.002233743667602539;31.317;131.984
q15__21e4988a3f47be288de5891d69acf91928ed94eb;train;0.001819610595703125;17.927;136.72
q15__3e37e62655ceaebc14e79edad518e5710752f51d;train;0.003028392791748047;17.843;477.467
q15__78995a5fc0536aa53b99be32ce84dcbf40e826f3;train;0.0018165111541748047;19.047;145.846
q15__b2ee2c788d30655058aeb992811e9a54f17f2998;train;0.0018200874328613281;18.023;437.576
q15__b8ddf65b0c0c7867a9b560e571d457fec410715c;train;0.0016884803771972656;18.022;414.065
q15__c9619ad44302bada330d337c174f9dab77538622;train;0.001753091812133789;17.093;408.85
q15__d5546c01928a687eb1f54e9f8eb4e1aff68fc381;train;0.0017554759979248047;21.947;158.237
q16__1e863562a79ca1f7754c759ebab6a2addda0bde8;train;0.001674652099609375;9.645;4075.46
q16__374e3e4c9eefc294fa4c46220953336298df3622;train;0.0017962455749511719;10.558;6280.193
q16__d5290889129fb8e625f2b36fa106e30d6c4b243b;train;0.0016033649444580078;9.954;114.273
q16__ea9efde510227beb8d624b8c4a6941b9d5e6e637;train;0.0015952587127685547;19.296;300.265
