query_ident;split;inference_time;planning_time;execution_time
q1__q1-009;train;20.52034592628479;0.582;11.643
q1__q1-031;train;19.47504997253418;0.584;11.652
q1__q1-067;train;15.640110731124878;0.622;28.644
q1__q1-075;train;16.457715272903442;0.649;46.925
q1__q1-098;train;15.473877668380737;0.671;2182.477
q1__q1-099;train;16.5038800239563;0.659;1732.022
q1__q1-100;train;16.309686183929443;0.672;2009.643
q2__q2-001;train;266.1761746406555;21.588;8974.25
q2__q2-012;train;252.63302278518677;28.097;8201.612
q2__q2-035;train;245.6833052635193;21.149;114264.082
q2__q2-050;train;232.0401258468628;26.182;7263.027
q2__q2-081;train;229.7786078453064;21.804;9545.469
q2__q2-094;train;214.3641767501831;25.424;21058.959
q2__q2-098;train;247.19772863388062;22.767;7941.817
q3__q3-018;train;265.764612197876;59.767;10089.346
q3__q3-040;train;251.85488080978394;0;360000
q3__q3-046;train;223.35597729682922;56.641;17807.767
q3__q3-066;train;231.8065526485443;54.662;17925.215
q3__q3-068;train;229.13849782943726;0;360000
q3__q3-086;train;228.68268060684204;54.451;9477.998
q3__q3-099;train;242.5256130695343;67.077;6978.668
q4__q4-002;train;61.463995695114136;3.644;75.542
q4__q4-026;train;62.88251447677612;3.843;51.946
q4__q4-042;train;62.38657999038696;3.345;44.051
q4__q4-064;train;61.838022232055664;3.694;47.688
q4__q4-074;train;52.27906584739685;3.471;105.689
q4__q4-086;train;54.18215322494507;3.418;91.089
q4__q4-089;train;60.409836769104004;3.627;82.752
q5__q5-015;train;128.46478581428528;3.453;18.417
q5__q5-032;train;125.32764291763306;3.468;24.945
q5__q5-052;train;126.14013290405273;3.346;21.216
q5__q5-059;train;125.1714460849762;3.422;36.675
q5__q5-077;train;126.58224320411682;3.384;20.888
q5__q5-079;train;125.15788745880127;3.573;45.537
q5__q5-082;train;124.88988757133484;3.86;39.706
q6__q6-002;train;96.1585373878479;3.226;22.452
q6__q6-009;train;90.65630841255188;3.131;21.076
q6__q6-064;train;88.85713863372803;3.389;20.699
q6__q6-065;train;90.98010015487671;3.441;25.311
q6__q6-067;train;82.32093119621277;3.397;15.565
q6__q6-069;train;90.50876188278198;3.386;24.106
q6__q6-085;train;90.69512271881104;5.036;21.36
q7__q7-034;train;21.776402473449707;1.293;917.286
q7__q7-036;train;20.126237154006958;1.262;911.327
q7__q7-077;train;19.108055114746094;1.381;913.954
q7__q7-082;train;20.320989847183228;1.343;1317.007
q7__q7-085;train;20.86978006362915;0.419;5570.469
q7__q7-095;train;19.833457231521606;1.316;926.741
q7__q7-099;train;19.20891046524048;1.275;918.367
q8__q8-006;train;454.71358847618103;62.808;784.265
q8__q8-025;train;430.3842353820801;55.235;3494.892
q8__q8-062;train;402.137757062912;60.291;2174.829
q8__q8-065;train;401.26001834869385;0;360000
q8__q8-074;train;412.1031198501587;54.061;3071.172
q8__q8-076;train;393.87122535705566;0;360000
q8__q8-096;train;410.3194863796234;64.357;623.48
q11__0ea8bacde0e13a4314466435cf49c8e685b39fb1;train;0.0006773471832275391;3.427;187.788
q11__33e1caf220e5bea2e592c82eede1c0427e2c2570;train;0.0013344287872314453;1.78;64.463
q11__87c4bd0930b02a3361ac2e86c453db1fec60dc6b;train;0.001794576644897461;1.533;301.019
q11__9389f58853715321e2a60ad743f99fc365f040cb;train;0.001173257827758789;3.843;43.501
q11__aa96c8d7abbf8a5b6d29473c1b9447a84f8b4f52;train;0.001291036605834961;1.275;40.4
q11__c1ae2a992cde4ea2c4922d852df22043254b4f84;train;0.0014126300811767578;1.598;2108.061
q11__e4ca35591923cf4efc89e64b17fb4d330c0b34df;train;0.001252889633178711;3.457;107.805
q12__06c8d6886a03d4d92837f38ff395b888de007d33;train;0.001828908920288086;15.856;85.293
q12__0700720596313f7fa30c0dd3d4a3001c896ba760;train;0.0018165111541748047;8.184;147.142
q12__55de941e8497cfeeb93d3f8f2d7a18489e0e6c32;train;0.0017139911651611328;8.49;1153.155
q12__5a5ff9bd9de9e748708116727803117e453e30da;train;0.0017185211181640625;8.522;84.243
