query_ident;split;inference_time;planning_time;execution_time
q1__q1-009;train;21.575075149536133;0.619;12.743
q1__q1-067;train;19.544901609420776;0.684;44.65
q1__q1-075;train;16.267235279083252;0.675;61.421
q1__q1-098;train;17.307700157165527;0.7;2490.847
q1__q1-099;train;16.4996600151062;0.681;2000.583
q1__q1-100;train;16.436681747436523;1.05;2264.033
q2__q2-001;train;271.9597337245941;0;360000
q2__q2-012;train;241.28072214126587;29.259;8909.797
q2__q2-032;train;230.86883521080017;0;360000
q2__q2-035;train;248.80291318893433;26.479;12263.399
q2__q2-050;train;242.42710041999817;30.502;7692.165
q2__q2-081;train;235.04065132141113;22.363;10789.75
q2__q2-094;train;211.26463770866394;27.619;12051.088
q2__q2-098;train;234.43773221969604;19.129;178548.51
q3__q3-018;train;250.42279696464539;52.851;5795.845
q3__q3-040;train;245.52169036865234;62.771;54867.72
q3__q3-043;train;185.50409126281738;0;360000
q3__q3-046;train;204.8600344657898;55.314;14334.598
q3__q3-066;train;219.20537877082825;0;360000
q3__q3-068;train;215.6745195388794;54.006;6559.329
q3__q3-086;train;224.44283080101013;0;360000
q3__q3-099;train;233.4055094718933;54.758;6992.636
q4__q4-002;train;58.97082781791687;3.349;64.101
q4__q4-026;train;58.02472472190857;3.359;46.235
q4__q4-041;train;56.16640090942383;3.317;114.068
q4__q4-074;train;51.05028033256531;3.331;99.392
q4__q4-086;train;58.39318513870239;3.349;87.5
q5__q5-015;train;120.272784948349;3.207;18.307
q5__q5-041;train;121.181223154068;3.273;29.593
q5__q5-052;train;120.39583325386047;3.222;18.841
q5__q5-059;train;120.77849268913269;3.373;36.873
q5__q5-077;train;119.95740079879761;3.125;18.591
q5__q5-079;train;120.3958809375763;4.637;83.017
q5__q5-082;train;124.19503474235535;3.467;43.071
q6__q6-002;train;92.03976440429688;3.338;22.291
q6__q6-009;train;89.41474199295044;3.496;19.809
q6__q6-065;train;87.7531304359436;3.314;21.853
q6__q6-067;train;73.78054666519165;3.272;35.136
q6__q6-069;train;86.7949013710022;3.357;20.012
q6__q6-085;train;87.04773426055908;3.252;20.271
q7__q7-034;train;20.977943420410156;1.268;870.576
q7__q7-036;train;19.768213272094727;1.258;941.404
q7__q7-047;train;19.94953227043152;1.27;878.956
q7__q7-077;train;18.235180616378784;1.339;876.792
q7__q7-082;train;19.9988214969635;1.268;890.375
q7__q7-085;train;20.168063163757324;1.275;957.175
q7__q7-095;train;19.793930053710938;1.271;882.948
q8__q8-006;train;444.43444633483887;61.622;840.975
q8__q8-025;train;407.0581262111664;52.458;3148.102
q8__q8-046;train;380.07803440093994;0;360000
q8__q8-062;train;387.7197833061218;52.307;1687.063
q8__q8-065;train;375.8875617980957;62.819;852.403
q8__q8-074;train;390.4914216995239;53.062;4037.716
q8__q8-076;train;382.9421298503876;0;360000
q8__q8-096;train;381.238924741745;62.394;618.151
q11__0ea8bacde0e13a4314466435cf49c8e685b39fb1;train;0.001178741455078125;3.451;106.833
q11__33e1caf220e5bea2e592c82eede1c0427e2c2570;train;0.0013225078582763672;3.509;77.453
q11__87c4bd0930b02a3361ac2e86c453db1fec60dc6b;train;0.0013339519500732422;1.342;267.851
q11__9389f58853715321e2a60ad743f99fc365f040cb;train;0.0011663436889648438;1.319;39.673
q11__aa96c8d7abbf8a5b6d29473c1b9447a84f8b4f52;train;0.0011475086212158203;1.249;48.781
q11__e4ca35591923cf4efc89e64b17fb4d330c0b34df;train;0.0012073516845703125;3.612;147.313
q12__06c8d6886a03d4d92837f38ff395b888de007d33;train;0.001718282699584961;7.963;134.893
q12__0700720596313f7fa30c0dd3d4a3001c896ba760;train;0.0018734931945800781;15.973;206.492
q12__547c6bf1994c9b2ba82a7ae32f4b051beabf46fd;train;0.0017681121826171875;8.065;41.128
q12__5a5ff9bd9de9e748708116727803117e453e30da;train;0.002190828323364258;8.112;87.548
q12__76a47868a09eec9f95bacb2cf21492d353698eb7;train;0.0017316341400146484;15.856;539.434
q12__812a3effb91cb789490fc2e12af772b1a35f8552;train;0.001829385757446289;8.201;762.382
q12__bde6c0cf5e67ddae4ec0dbb787291da703e406d5;train;0.0016067028045654297;8.187;55.235
q13__13ad1b8c6bea4fda1892b9fa82cc1ceb9ceb85fc;train;0.002058267593383789;75.996;506.777
q13__1ddcc8650e17b292bc7344902baffc90c5ae5761;train;0.002082347869873047;72.786;583.058
q13__935e2051bf80eeafe91aeb6eb719b6b64b9592c2;train;0.0022814273834228516;78.116;3372.935
q13__a091adce62743b65c04532e98e8ff3d7e546ea77;train;0.0011646747589111328;73.46;147.715
q13__a3d03772d880754fc4e150d82908757477ae2186;train;0.0008094310760498047;65.476;1098.857
q13__add0df9dccb2790c14508e19c9e0deb79fad6ea2;train;0.0021054744720458984;65.134;724.873
q13__d383cd5b4aee7d3f73508e2a1fe5f6d0f7dd42a2;train;0.0020704269409179688;61.972;76.833
q13__d4707be2adfdbc842f42acb1fc16e3a43faf7474;train;0.001971006393432617;78.687;363.538
q14__4063b6cbbd1c0f2a902a647aafe24174a75f53cd;train;0.0018825531005859375;28.254;363.742
q14__5dbc1d1f1a0467ad0086e6cb337144387a37533a;train;0.0018894672393798828;31.436;2705.054
q14__5e4835cd72aaa2d7be15b2a5ffa2e66156b3656f;train;0.0018756389617919922;31.552;104.883
q14__719e692d411868ae7a93909757872d264f6bbf73;train;0.0020918846130371094;40.755;470.602
