query_ident;split;inference_time;planning_time;execution_time
q1__q1-009;train;45.52784323692322;0.69;13.546
q1__q1-067;train;20.26595664024353;0.689;34.858
q1__q1-075;train;16.892339944839478;0.851;62.001
q1__q1-098;train;17.249094247817993;0;360000
q1__q1-099;train;16.33535408973694;0;360000
q1__q1-100;train;15.92705750465393;0;360000
q2__q2-001;train;267.3433983325958;0;360000
q2__q2-012;train;239.94781923294067;0;360000
q2__q2-032;train;246.67963409423828;0;360000
q2__q2-035;train;257.08350944519043;0;360000
q2__q2-050;train;249.26499795913696;0;360000
q2__q2-081;train;238.11832761764526;0;360000
q2__q2-094;train;212.9180028438568;0;360000
q2__q2-098;train;240.39909148216248;0;360000
q3__q3-018;train;256.897088766098;0;360000
q3__q3-040;train;239.45540761947632;0;360000
q3__q3-043;train;181.66433453559875;0;360000
q3__q3-046;train;199.86770844459534;0;360000
q3__q3-066;train;220.1940622329712;0;360000
q3__q3-068;train;212.44919800758362;51.127;12632.552
q3__q3-086;train;218.92043733596802;54.368;7978.327
q3__q3-099;train;219.59763765335083;0;360000
q4__q4-002;train;57.56898260116577;3.448;68.632
q4__q4-026;train;56.448025703430176;3.407;45.46
q4__q4-041;train;54.063528537750244;3.366;118.729
q4__q4-074;train;51.50510096549988;3.397;100.846
q4__q4-086;train;57.21156930923462;3.406;89.44
q5__q5-015;train;116.86590576171875;3.178;17.967
q5__q5-041;train;118.33072900772095;3.382;27.646
q5__q5-052;train;114.47254681587219;3.263;18.57
q5__q5-059;train;119.49742770195007;3.304;38.322
q5__q5-077;train;121.89878797531128;3.442;22.046
q5__q5-079;train;123.62465214729309;5.75;67.366
q5__q5-082;train;122.15794086456299;3.373;34.765
q6__q6-002;train;94.78794145584106;3.441;28.83
q6__q6-009;train;94.86493515968323;3.487;19.561
q6__q6-065;train;94.09046483039856;3.461;26.816
q6__q6-067;train;83.27835702896118;3.497;19.397
q6__q6-069;train;93.04641437530518;3.375;19.147
q6__q6-085;train;90.75362825393677;3.529;16.664
q7__q7-034;train;21.566574335098267;0;360000
q7__q7-036;train;21.646477699279785;1.353;892.214
q7__q7-047;train;21.03161072731018;1.268;923.027
q7__q7-077;train;19.139448881149292;1.305;901.614
q7__q7-082;train;19.6879620552063;0.438;5487.14
q7__q7-085;train;20.218809604644775;1.301;873.477
q7__q7-095;train;20.00780463218689;0.423;3336.657
q8__q8-006;train;468.31802105903625;64.66;717.036
q8__q8-025;train;431.43725323677063;53.527;3158.663
q8__q8-046;train;385.23606729507446;61.645;2089.198
q8__q8-062;train;395.9823489189148;53.72;2123.763
q8__q8-065;train;376.6921453475952;63.39;657.427
q8__q8-074;train;380.0903308391571;64.84;3045.404
q8__q8-076;train;375.0508942604065;64.044;805.825
q8__q8-096;train;376.30494117736816;64.037;509.76
q11__0ea8bacde0e13a4314466435cf49c8e685b39fb1;train;0.0008893013000488281;1.35;143.392
q11__33e1caf220e5bea2e592c82eede1c0427e2c2570;train;0.001986265182495117;3.509;85.961
q11__87c4bd0930b02a3361ac2e86c453db1fec60dc6b;train;0.0013585090637207031;1.334;248.452
q11__9389f58853715321e2a60ad743f99fc365f040cb;train;0.001226663589477539;1.257;66.283
q11__aa96c8d7abbf8a5b6d29473c1b9447a84f8b4f52;train;0.0011632442474365234;1.274;44.48
q11__e4ca35591923cf4efc89e64b17fb4d330c0b34df;train;0.0011816024780273438;1.662;55.894
q12__06c8d6886a03d4d92837f38ff395b888de007d33;train;0.0018613338470458984;8.006;75.636
q12__0700720596313f7fa30c0dd3d4a3001c896ba760;train;0.0018687248229980469;14.994;151.636
q12__547c6bf1994c9b2ba82a7ae32f4b051beabf46fd;train;0.0017132759094238281;7.915;41.154
q12__5a5ff9bd9de9e748708116727803117e453e30da;train;0.002744913101196289;8.429;82.012
q12__76a47868a09eec9f95bacb2cf21492d353698eb7;train;0.0018351078033447266;16.185;480.197
q12__812a3effb91cb789490fc2e12af772b1a35f8552;train;0.001993417739868164;8.135;803.646
q12__bde6c0cf5e67ddae4ec0dbb787291da703e406d5;train;0.0016205310821533203;8.103;55.978
q13__13ad1b8c6bea4fda1892b9fa82cc1ceb9ceb85fc;train;0.0020864009857177734;74.585;478.127
q13__1ddcc8650e17b292bc7344902baffc90c5ae5761;train;0.002026081085205078;0;360000
q13__935e2051bf80eeafe91aeb6eb719b6b64b9592c2;train;0.0026199817657470703;0;360000
q13__a091adce62743b65c04532e98e8ff3d7e546ea77;train;0.0030002593994140625;73.273;133.89
q13__a3d03772d880754fc4e150d82908757477ae2186;train;0.0021996498107910156;65.033;1039.878
q13__add0df9dccb2790c14508e19c9e0deb79fad6ea2;train;0.002170562744140625;64.889;758.17
q13__d383cd5b4aee7d3f73508e2a1fe5f6d0f7dd42a2;train;0.0025701522827148438;61.535;79.913
q13__d4707be2adfdbc842f42acb1fc16e3a43faf7474;train;0.002110719680786133;80.289;172.816
q14__4063b6cbbd1c0f2a902a647aafe24174a75f53cd;train;0.0021686553955078125;28.124;312.028
q14__5dbc1d1f1a0467ad0086e6cb337144387a37533a;train;0.0019807815551757812;0;360000
q14__5e4835cd72aaa2d7be15b2a5ffa2e66156b3656f;train;0.0056438446044921875;31.764;132.546
q14__719e692d411868ae7a93909757872d264f6bbf73;train;0.002196073532104492;30.427;393.448
q15__21e4988a3f47be288de5891d69acf91928ed94eb;train;0.0017712116241455078;18.061;148.693
q15__78995a5fc0536aa53b99be32ce84dcbf40e826f3;train;0.0023932456970214844;19.6;154.48
q15__b2ee2c788d30655058aeb992811e9a54f17f2998;train;0.001802682876586914;17.941;532.533
q15__c9619ad44302bada330d337c174f9dab77538622;train;0.0018107891082763672;16.979;404.239
q16__374e3e4c9eefc294fa4c46220953336298df3622;train;0.0018606185913085938;0;360000
q16__b1a96cd48ba297dd93bce73c27b491069ad7449f;train;0.0017962455749511719;10.864;616.258
q16__d5290889129fb8e625f2b36fa106e30d6c4b243b;train;0.001581430435180664;9.862;114.394
q16__f67cec3d635586efb847c832072be83b42cc45b7;train;0.0017974376678466797;18.734;119.713
q16__fbe34e8fdf672a34fd82cbbd6d9a81fd02ce17d1;train;0.0017137527465820312;10.028;3360.602
q1__q1-031;test;16.473732948303223;0.607;12.108
q1__q1-035;test;18.83828592300415;0.62;12.318
q4__q4-042;test;59.683114528656006;3.343;44.046
q4__q4-064;test;52.187554359436035;3.295;43.235
q4__q4-089;test;57.982706785202026;3.277;73.31
q5__q5-032;test;120.61893963813782;3.276;24.386
q6__q6-060;test;83.69358086585999;3.687;24.555
q6__q6-064;test;90.61525368690491;3.288;16.181
q7__q7-099;test;17.817890167236328;0.524;4348.764
q11__6c5cba419c5b7b02d431aeb5e766d775d812967a;test;0.001317739486694336;3.491;82.365
q11__c1ae2a992cde4ea2c4922d852df22043254b4f84;test;0.0013644695281982422;1.316;1672.379
q12__55de941e8497cfeeb93d3f8f2d7a18489e0e6c32;test;0.0018634796142578125;0;360000
q14__63c0776f1727638316b966fe748df7cc585a335b;test;0.0036377906799316406;39.992;81.59
q14__74fd1af68d23f0690e3d0fc80bd9b42fa90a7e94;test;0.004285573959350586;0;360000
q14__97e68ad5c2ced4c182366b3118a1f5f69b423fa6;test;0.004504203796386719;35.408;3520.453
q14__b49361f85785200ed6ec1f2eec357b7598c9e564;test;0.0020744800567626953;32.605;136.259
q15__3e37e62655ceaebc14e79edad518e5710752f51d;test;0.002637147903442383;25.45;518.141
q15__543ab3f730e494a69e3d15e59675f491544cb15d;test;0.0017845630645751953;18.339;228.522
